dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,100406.0,41494.0,41126.0,17786.0
geoId-VNM,2005,96580.0,37925.0,38449.0,20206.0
geoId-VNM,2006,90383.0,35068.0,36388.0,18927.0
geoId-VNM,2007,80449.0,33818.0,31663.0,14968.0
geoId-VNM,2008,77014.0,34191.0,28537.0,14286.0
geoId-VNM,2009,74766.0,33828.0,26781.0,14157.0
geoId-VNM,2010,74434.0,35339.0,25348.0,13747.0
geoId-VNM,2011,75367.0,36022.0,25539.0,13806.0
geoId-VNM,2012,75640.0,36768.0,25481.0,13391.0
geoId-VNM,2013,77103.0,38168.0,25795.0,13140.0
geoId-VNM,2014,77516.0,38063.0,26792.0,12661.0
geoId-VNM,2015,82029.0,41732.0,27770.0,12527.0
geoId-VNM,2016,85442.0,44552.0,27999.0,12891.0
geoId-VNM,2017,88478.0,46831.0,28943.0,12704.0
geoId-VNM,2018,93335.0,50815.0,29070.0,13450.0
geoId-VNM,2019,96947.0,52424.0,30785.0,13738.0
geoId-VNM,2020,101903.0,54746.0,33039.0,14118.0
geoId-VNM,2021,105367.0,56049.0,34875.0,14443.0
