dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,41663.0,24888.0,13994.0,2781.0
geoId-VNM,2005,41393.0,24493.0,13952.0,2948.0
geoId-VNM,2006,39739.0,22592.0,13660.0,3487.0
geoId-VNM,2007,37391.0,21830.0,11667.0,3894.0
geoId-VNM,2008,37201.0,21992.0,11430.0,3779.0
geoId-VNM,2009,35979.0,21492.0,10950.0,3537.0
geoId-VNM,2010,35174.0,21736.0,10461.0,2977.0
geoId-VNM,2011,34342.0,20890.0,10542.0,2910.0
geoId-VNM,2012,35157.0,21309.0,10697.0,3151.0
geoId-VNM,2013,35541.0,21545.0,11058.0,2938.0
geoId-VNM,2014,35878.0,21707.0,10752.0,3419.0
geoId-VNM,2015,36265.0,21760.0,11030.0,3475.0
geoId-VNM,2016,36892.0,21970.0,11428.0,3494.0
geoId-VNM,2017,37620.0,22031.0,12148.0,3441.0
geoId-VNM,2018,39014.0,23224.0,12316.0,3474.0
geoId-VNM,2019,41245.0,24668.0,12775.0,3802.0
geoId-VNM,2020,42342.0,24805.0,13538.0,3999.0
geoId-VNM,2021,41483.0,23936.0,13244.0,4303.0
