dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,216.0,137.0,56.0,14.0,,9.0
geoId-VNM,2003,220.0,139.0,58.0,16.0,,7.0
geoId-VNM,2004,232.0,139.0,69.0,21.0,,3.0
geoId-VNM,2005,234.0,139.0,70.0,22.0,,3.0
geoId-VNM,2006,239.0,142.0,70.0,24.0,,3.0
geoId-VNM,2007,242.0,143.0,71.0,25.0,,3.0
geoId-VNM,2008,243.0,141.0,73.0,25.0,1.0,3.0
geoId-VNM,2009,241.0,140.0,74.0,25.0,,2.0
geoId-VNM,2010,252.0,145.0,76.0,27.0,,4.0
geoId-VNM,2011,254.0,144.0,78.0,27.0,1.0,4.0
geoId-VNM,2012,259.0,143.0,82.0,29.0,,5.0
geoId-VNM,2013,262.0,144.0,85.0,29.0,,4.0
geoId-VNM,2014,264.0,146.0,85.0,28.0,,5.0
geoId-VNM,2015,263.0,142.0,87.0,29.0,1.0,4.0
geoId-VNM,2016,265.0,143.0,87.0,29.0,1.0,5.0
geoId-VNM,2017,266.0,143.0,88.0,29.0,1.0,5.0
geoId-VNM,2019,259.0,136.0,88.0,30.0,1.0,4.0
geoId-VNM,2020,263.0,134.0,89.0,31.0,1.0,8.0
geoId-VNM,2021,265.0,136.0,90.0,31.0,2.0,6.0
