dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1532.0,1840.0,36.306
geoId-VNM,2003,,1497.0,1639.0,34.576
geoId-VNM,2004,206.0,1977.0,1683.0,34.269
geoId-VNM,2005,199.0,1747.0,1984.0,37.209
geoId-VNM,2006,217.0,1885.0,2375.0,44.3
geoId-VNM,2007,211.0,1552.0,1787.0,26.0
geoId-VNM,2008,214.0,1638.0,2072.0,40.3
geoId-VNM,2009,214.0,1671.0,2064.0,42.4
geoId-VNM,2010,222.0,1727.0,2249.0,44.5
geoId-VNM,2011,223.0,1816.0,2426.0,48.155
geoId-VNM,2012,229.0,1908.0,2877.0,51.157
geoId-VNM,2013,232.0,1938.0,3025.0,51.381
geoId-VNM,2014,240.0,1987.0,3313.0,52.04
geoId-VNM,2015,246.0,2178.0,3608.0,55.524
geoId-VNM,2016,255.0,2420.0,3973.0,62.515
geoId-VNM,2017,260.0,2330.0,4160.0,63.453
geoId-VNM,2018,247.0,2219.0,3762.0,60.103
geoId-VNM,2020,320.0,2600.0,4300.0,65.973
geoId-VNM,2021,289.0,2597.0,4636.0,64.087
