dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1198.0,1543.0,28.494
geoId-VNM,2003,,1256.0,1513.0,28.958
geoId-VNM,2004,162.0,1203.0,1529.0,31.896
geoId-VNM,2005,161.0,1185.0,1536.0,31.823
geoId-VNM,2006,213.0,1197.0,1553.0,31.5
geoId-VNM,2007,191.0,1239.0,1655.0,33.2
geoId-VNM,2008,171.0,1295.0,1796.0,35.4
geoId-VNM,2009,173.0,1308.0,1832.0,35.1
geoId-VNM,2010,174.0,1351.0,1962.0,37.0
geoId-VNM,2011,172.0,1415.0,2120.0,38.963
geoId-VNM,2012,178.0,1514.0,2169.0,41.919
geoId-VNM,2013,180.0,1465.0,2284.0,42.01
geoId-VNM,2014,185.0,1519.0,2395.0,41.48
geoId-VNM,2015,191.0,1596.0,2882.0,45.645
geoId-VNM,2016,194.0,1710.0,3065.0,50.862
geoId-VNM,2017,199.0,1764.0,3215.0,52.26
geoId-VNM,2018,224.0,1777.0,3033.0,51.643
geoId-VNM,2020,205.0,1858.0,3439.0,52.177
geoId-VNM,2021,205.0,1826.0,3360.0,45.737
