dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,,,
geoId-VNM,2003,,,,
geoId-VNM,2004,52.0,477.0,632.0,11.237
geoId-VNM,2005,64.0,551.0,582.0,10.696
geoId-VNM,2006,61.0,881.0,1157.0,18.0
geoId-VNM,2007,89.0,989.0,1232.0,21.0
geoId-VNM,2008,115.0,1067.0,1339.0,22.3
geoId-VNM,2009,135.0,1131.0,1343.0,25.0
geoId-VNM,2010,144.0,1328.0,1670.0,28.4
geoId-VNM,2011,152.0,1438.0,1830.0,31.76
geoId-VNM,2012,164.0,1517.0,2209.0,32.583
geoId-VNM,2013,163.0,1648.0,2256.0,36.579
geoId-VNM,2014,167.0,1671.0,2184.0,38.278
geoId-VNM,2015,171.0,1709.0,2417.0,41.372
geoId-VNM,2016,172.0,1757.0,2434.0,43.039
geoId-VNM,2017,176.0,1812.0,2428.0,45.344
geoId-VNM,2018,173.0,1761.0,2452.0,45.652
geoId-VNM,2020,169.0,1822.0,2605.0,45.642
geoId-VNM,2021,169.0,1804.0,2634.0,44.273
