dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1558.0,1646.0,35.432
geoId-VNM,2003,,1492.0,1713.0,34.537
geoId-VNM,2004,165.0,1512.0,1669.0,35.856
geoId-VNM,2005,166.0,1513.0,1664.0,36.347
geoId-VNM,2006,166.0,1548.0,1654.0,36.5
geoId-VNM,2007,166.0,1621.0,1631.0,36.0
geoId-VNM,2008,169.0,1394.0,1730.0,36.4
geoId-VNM,2009,170.0,1539.0,1760.0,40.1
geoId-VNM,2010,170.0,1523.0,1807.0,40.9
geoId-VNM,2011,172.0,1662.0,1945.0,46.208
geoId-VNM,2012,175.0,2086.0,2297.0,57.556
geoId-VNM,2013,176.0,1855.0,2533.0,53.967
geoId-VNM,2014,176.0,1959.0,2554.0,53.05
geoId-VNM,2015,189.0,2195.0,2652.0,59.195
geoId-VNM,2016,182.0,2187.0,2932.0,64.609
geoId-VNM,2017,187.0,2291.0,2983.0,67.759
geoId-VNM,2018,179.0,2231.0,3001.0,63.746
geoId-VNM,2020,188.0,2544.0,3581.0,64.178
geoId-VNM,2021,190.0,2540.0,3578.0,57.448
