dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,568.0,400.0,112.0,33.0,,23.0
geoId-VNM,2003,585.0,399.0,130.0,43.0,,13.0
geoId-VNM,2004,595.0,400.0,138.0,56.0,,1.0
geoId-VNM,2005,598.0,400.0,142.0,55.0,,1.0
geoId-VNM,2006,595.0,395.0,147.0,53.0,,
geoId-VNM,2007,594.0,392.0,149.0,52.0,,1.0
geoId-VNM,2008,596.0,395.0,152.0,48.0,,1.0
geoId-VNM,2009,594.0,393.0,154.0,47.0,,
geoId-VNM,2010,601.0,396.0,155.0,47.0,,3.0
geoId-VNM,2011,595.0,390.0,155.0,44.0,,6.0
geoId-VNM,2012,603.0,392.0,154.0,44.0,,13.0
geoId-VNM,2013,563.0,357.0,155.0,43.0,,8.0
geoId-VNM,2014,554.0,346.0,156.0,42.0,1.0,9.0
geoId-VNM,2015,547.0,339.0,156.0,42.0,1.0,9.0
geoId-VNM,2016,542.0,334.0,156.0,42.0,1.0,9.0
geoId-VNM,2017,536.0,328.0,156.0,42.0,1.0,9.0
geoId-VNM,2019,531.0,322.0,155.0,43.0,2.0,9.0
geoId-VNM,2020,528.0,319.0,154.0,43.0,2.0,10.0
geoId-VNM,2021,521.0,312.0,151.0,43.0,4.0,11.0
