dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,229.0,150.0,67.0,6.0,,6.0
geoId-VNM,2003,232.0,151.0,67.0,8.0,,6.0
geoId-VNM,2004,231.0,150.0,67.0,9.0,,5.0
geoId-VNM,2005,233.0,150.0,67.0,9.0,,7.0
geoId-VNM,2006,235.0,150.0,66.0,11.0,1.0,7.0
geoId-VNM,2007,234.0,150.0,66.0,11.0,,7.0
geoId-VNM,2008,239.0,154.0,67.0,11.0,,7.0
geoId-VNM,2009,240.0,154.0,68.0,11.0,,7.0
geoId-VNM,2010,241.0,154.0,69.0,12.0,,6.0
geoId-VNM,2011,240.0,154.0,67.0,12.0,,7.0
geoId-VNM,2012,236.0,151.0,66.0,12.0,,7.0
geoId-VNM,2013,227.0,142.0,62.0,15.0,3.0,5.0
geoId-VNM,2014,213.0,130.0,61.0,14.0,2.0,6.0
geoId-VNM,2015,210.0,127.0,60.0,14.0,3.0,6.0
geoId-VNM,2016,211.0,128.0,62.0,14.0,1.0,6.0
geoId-VNM,2017,213.0,129.0,63.0,15.0,1.0,5.0
geoId-VNM,2019,213.0,131.0,59.0,15.0,3.0,5.0
geoId-VNM,2020,200.0,118.0,59.0,14.0,3.0,6.0
geoId-VNM,2021,197.0,115.0,59.0,14.0,3.0,6.0
