dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1769.0,2218.0,51.967
geoId-VNM,2003,,1885.0,2583.0,54.236
geoId-VNM,2004,221.0,1883.0,2689.0,59.488
geoId-VNM,2005,220.0,2306.0,3222.0,70.588
geoId-VNM,2006,237.0,2320.0,3444.0,69.4
geoId-VNM,2007,242.0,2999.0,3730.0,71.1
geoId-VNM,2008,229.0,2168.0,3431.0,64.3
geoId-VNM,2009,257.0,2760.0,3736.0,77.9
geoId-VNM,2010,252.0,2159.0,3370.0,73.6
geoId-VNM,2011,263.0,2497.0,4134.0,79.899
geoId-VNM,2012,257.0,2303.0,4100.0,73.59
geoId-VNM,2013,265.0,2463.0,4459.0,78.849
geoId-VNM,2014,275.0,4422.0,5210.0,111.928
geoId-VNM,2015,281.0,5523.0,5749.0,118.23
geoId-VNM,2016,286.0,4457.0,6310.0,133.614
geoId-VNM,2017,318.0,4877.0,7225.0,149.646
geoId-VNM,2018,328.0,2920.0,5668.0,93.509
geoId-VNM,2020,374.0,3516.0,6894.0,105.549
geoId-VNM,2021,366.0,3368.0,6751.0,83.167
