dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,4428.0,5394.0,101.918
geoId-VNM,2003,,4045.0,4781.0,99.604
geoId-VNM,2004,506.0,3948.0,4830.0,99.112
geoId-VNM,2005,503.0,3931.0,5048.0,100.838
geoId-VNM,2006,501.0,3877.0,4917.0,100.9
geoId-VNM,2007,502.0,3909.0,5347.0,102.4
geoId-VNM,2008,504.0,4006.0,5363.0,108.2
geoId-VNM,2009,503.0,4059.0,5627.0,113.7
geoId-VNM,2010,507.0,4107.0,6173.0,115.2
geoId-VNM,2011,508.0,4226.0,6270.0,121.371
geoId-VNM,2012,515.0,4362.0,6339.0,132.13
geoId-VNM,2013,517.0,4400.0,6679.0,135.264
geoId-VNM,2014,524.0,4599.0,6867.0,143.856
geoId-VNM,2015,529.0,4844.0,7876.0,156.556
geoId-VNM,2016,535.0,5336.0,8424.0,177.618
geoId-VNM,2017,541.0,5647.0,9053.0,188.342
geoId-VNM,2018,551.0,5704.0,9271.0,185.395
geoId-VNM,2020,546.0,5955.0,9593.0,189.899
geoId-VNM,2021,547.0,6011.0,9714.0,183.986
