dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,927.0,957.0,19.14
geoId-VNM,2003,,1021.0,1147.0,15.55
geoId-VNM,2004,70.0,1126.0,1288.0,22.33
geoId-VNM,2005,85.0,1188.0,1285.0,23.82
geoId-VNM,2006,100.0,1325.0,1408.0,25.2
geoId-VNM,2007,108.0,1450.0,1708.0,27.3
geoId-VNM,2008,115.0,1467.0,1910.0,28.4
geoId-VNM,2009,126.0,1604.0,2020.0,29.9
geoId-VNM,2010,139.0,1311.0,1776.0,27.6
geoId-VNM,2011,161.0,1543.0,2190.0,32.277
geoId-VNM,2012,185.0,1610.0,3250.0,33.032
geoId-VNM,2013,203.0,1615.0,2681.0,36.723
geoId-VNM,2014,212.0,1629.0,2419.0,39.408
geoId-VNM,2015,220.0,1667.0,2797.0,42.623
geoId-VNM,2016,227.0,1691.0,3099.0,44.447
geoId-VNM,2017,231.0,1720.0,3295.0,45.795
geoId-VNM,2018,231.0,1714.0,3357.0,45.609
geoId-VNM,2020,231.0,1713.0,3415.0,43.761
geoId-VNM,2021,232.0,1749.0,3363.0,42.136
