dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,659.0,565.0,17.539
geoId-VNM,2003,,887.0,622.0,22.327
geoId-VNM,2004,59.0,852.0,678.0,26.331
geoId-VNM,2005,136.0,1100.0,816.0,29.829
geoId-VNM,2006,169.0,1190.0,906.0,30.4
geoId-VNM,2007,167.0,1216.0,795.0,31.7
geoId-VNM,2008,160.0,1254.0,1246.0,33.5
geoId-VNM,2009,145.0,1339.0,1337.0,35.9
geoId-VNM,2010,119.0,1407.0,1638.0,39.0
geoId-VNM,2011,141.0,1450.0,1711.0,41.005
geoId-VNM,2012,156.0,1791.0,1986.0,44.669
geoId-VNM,2013,146.0,1589.0,1970.0,44.907
geoId-VNM,2014,133.0,1577.0,1945.0,42.974
geoId-VNM,2015,137.0,1636.0,2165.0,44.192
geoId-VNM,2016,138.0,1587.0,2432.0,48.831
geoId-VNM,2017,135.0,1567.0,2477.0,49.146
geoId-VNM,2018,135.0,1465.0,2314.0,44.605
geoId-VNM,2020,134.0,1469.0,2400.0,42.124
geoId-VNM,2021,135.0,1430.0,2437.0,29.413
