dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1386.0,1686.0,30.21
geoId-VNM,2003,,1570.0,1946.0,34.259
geoId-VNM,2004,185.0,1294.0,1639.0,28.821
geoId-VNM,2005,186.0,1271.0,1726.0,30.252
geoId-VNM,2006,182.0,1287.0,1699.0,30.9
geoId-VNM,2007,176.0,1298.0,1767.0,32.3
geoId-VNM,2008,176.0,1250.0,1842.0,33.5
geoId-VNM,2009,153.0,1145.0,1942.0,33.3
geoId-VNM,2010,176.0,1340.0,2117.0,35.2
geoId-VNM,2011,178.0,1407.0,2310.0,37.854
geoId-VNM,2012,179.0,1462.0,2598.0,40.919
geoId-VNM,2013,178.0,1483.0,2730.0,39.885
geoId-VNM,2014,178.0,1509.0,2855.0,40.624
geoId-VNM,2015,179.0,1570.0,3034.0,44.95
geoId-VNM,2016,178.0,1724.0,3247.0,51.74
geoId-VNM,2017,182.0,1754.0,3409.0,52.997
geoId-VNM,2018,184.0,1789.0,3443.0,52.672
geoId-VNM,2020,183.0,1892.0,3721.0,52.767
geoId-VNM,2021,183.0,1901.0,3780.0,50.914
