dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1034.0,1065.0,26.669
geoId-VNM,2003,,1028.0,1081.0,27.402
geoId-VNM,2004,137.0,1016.0,1071.0,29.177
geoId-VNM,2005,156.0,1042.0,1128.0,30.713
geoId-VNM,2006,161.0,1056.0,1114.0,31.2
geoId-VNM,2007,162.0,1102.0,1178.0,33.5
geoId-VNM,2008,161.0,1136.0,1182.0,35.5
geoId-VNM,2009,167.0,1091.0,1200.0,35.3
geoId-VNM,2010,168.0,1131.0,1321.0,35.8
geoId-VNM,2011,171.0,1133.0,1397.0,36.762
geoId-VNM,2012,173.0,1169.0,1518.0,38.339
geoId-VNM,2013,172.0,1172.0,1520.0,38.693
geoId-VNM,2014,173.0,1174.0,1638.0,38.019
geoId-VNM,2015,174.0,1189.0,1790.0,39.216
geoId-VNM,2016,176.0,1238.0,1914.0,43.181
geoId-VNM,2017,178.0,1287.0,1998.0,44.038
geoId-VNM,2018,181.0,1302.0,2127.0,41.731
geoId-VNM,2020,184.0,1329.0,2244.0,41.855
geoId-VNM,2021,180.0,1299.0,2176.0,36.724
