dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,47700.0,21215.0,21164.0,5321.0
geoId-VNM,2005,50494.0,22460.0,22018.0,6016.0
geoId-VNM,2006,49033.0,21191.0,21122.0,6720.0
geoId-VNM,2007,42700.0,16487.0,20346.0,5867.0
geoId-VNM,2008,41913.0,19441.0,16205.0,6267.0
geoId-VNM,2009,41132.0,19595.0,15775.0,5762.0
geoId-VNM,2010,43116.0,20184.0,16095.0,6837.0
geoId-VNM,2011,41990.0,19114.0,16087.0,6789.0
geoId-VNM,2012,42102.0,18883.0,16521.0,6698.0
geoId-VNM,2013,42727.0,19330.0,16350.0,7047.0
geoId-VNM,2014,42399.0,19360.0,15893.0,7146.0
geoId-VNM,2015,44128.0,20381.0,16424.0,7323.0
geoId-VNM,2016,45155.0,22150.0,15512.0,7493.0
geoId-VNM,2017,46756.0,23790.0,15291.0,7675.0
geoId-VNM,2018,50132.0,26776.0,15410.0,7946.0
geoId-VNM,2019,54372.0,29462.0,15547.0,9363.0
geoId-VNM,2020,56610.0,31798.0,16768.0,8044.0
geoId-VNM,2021,61240.0,34274.0,18710.0,8256.0
