dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,2059.0,2542.0,48.908
geoId-VNM,2003,,2088.0,2220.0,52.445
geoId-VNM,2004,241.0,2093.0,2459.0,52.541
geoId-VNM,2005,239.0,2285.0,2501.0,56.939
geoId-VNM,2006,243.0,2091.0,2340.0,50.9
geoId-VNM,2007,247.0,2126.0,2807.0,55.4
geoId-VNM,2008,249.0,2166.0,3131.0,52.3
geoId-VNM,2009,255.0,2077.0,2998.0,55.3
geoId-VNM,2010,263.0,2309.0,3430.0,62.1
geoId-VNM,2011,265.0,2359.0,3596.0,66.054
geoId-VNM,2012,272.0,2537.0,4001.0,72.785
geoId-VNM,2013,272.0,2613.0,4012.0,77.036
geoId-VNM,2014,274.0,2716.0,4205.0,83.142
geoId-VNM,2015,275.0,2870.0,4238.0,92.321
geoId-VNM,2016,276.0,3073.0,4720.0,101.653
geoId-VNM,2017,278.0,3567.0,5892.0,109.222
geoId-VNM,2018,257.0,3640.0,6470.0,109.43
geoId-VNM,2020,249.0,3791.0,7087.0,105.748
geoId-VNM,2021,249.0,3843.0,7319.0,102.125
