dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,,,,
geoId-VNM,2005,,,,
geoId-VNM,2006,,,,
geoId-VNM,2007,,,,
geoId-VNM,2008,,,,
geoId-VNM,2009,,,,
geoId-VNM,2010,,,,
geoId-VNM,2011,,,,
geoId-VNM,2012,,,,
geoId-VNM,2013,,,,
geoId-VNM,2014,,,,
geoId-VNM,2015,,,,
geoId-VNM,2016,,,,
geoId-VNM,2017,,,,
geoId-VNM,2018,159979.0,85691.0,52801.0,21487.0
geoId-VNM,2019,164872.0,88686.0,54275.0,21911.0
geoId-VNM,2020,169081.0,90380.0,56259.0,22442.0
geoId-VNM,2021,169869.0,91957.0,55091.0,22821.0
