dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,5592.0,2300.0,2568.0,724.0
geoId-VNM,2005,5733.0,2363.0,2689.0,681.0
geoId-VNM,2006,4910.0,1944.0,2272.0,694.0
geoId-VNM,2007,4519.0,2040.0,2048.0,431.0
geoId-VNM,2008,4906.0,1974.0,2090.0,842.0
geoId-VNM,2009,4244.0,1968.0,1731.0,545.0
geoId-VNM,2010,4120.0,2042.0,1518.0,560.0
geoId-VNM,2011,3461.0,2127.0,772.0,562.0
geoId-VNM,2012,4359.0,2201.0,1594.0,564.0
geoId-VNM,2013,4475.0,2388.0,1559.0,528.0
geoId-VNM,2014,4712.0,2569.0,1601.0,542.0
geoId-VNM,2015,5012.0,2776.0,1661.0,575.0
geoId-VNM,2016,5278.0,2965.0,1683.0,630.0
geoId-VNM,2017,5627.0,3094.0,1864.0,669.0
geoId-VNM,2018,6142.0,3425.0,2028.0,689.0
geoId-VNM,2019,6542.0,3589.0,2212.0,741.0
geoId-VNM,2020,6992.0,3828.0,2338.0,826.0
geoId-VNM,2021,7510.0,4096.0,2443.0,971.0
