dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,8148.0,11258.0,249.86
geoId-VNM,2003,,8350.0,12703.0,256.737
geoId-VNM,2004,1127.0,8726.0,13500.0,293.247
geoId-VNM,2005,1172.0,9779.0,14614.0,325.902
geoId-VNM,2006,1284.0,10415.0,16134.0,343.8
geoId-VNM,2007,1291.0,11589.0,17573.0,367.4
geoId-VNM,2008,1350.0,11671.0,18776.0,386.7
geoId-VNM,2009,1363.0,11953.0,20119.0,395.7
geoId-VNM,2010,1488.0,21510.0,20375.0,429.3
geoId-VNM,2011,1716.0,14803.0,23912.0,478.993
geoId-VNM,2012,1649.0,14474.0,23751.0,485.145
geoId-VNM,2013,1761.0,15841.0,27476.0,508.533
geoId-VNM,2014,1898.0,19704.0,29356.0,551.584
geoId-VNM,2015,2010.0,21668.0,32348.0,572.44
geoId-VNM,2016,2147.0,21998.0,35683.0,662.424
geoId-VNM,2017,2321.0,23246.0,38856.0,706.094
geoId-VNM,2018,2521.0,21996.0,39296.0,649.104
geoId-VNM,2020,2659.0,23692.0,42365.0,633.938
geoId-VNM,2021,2622.0,22740.0,40940.0,491.225
