dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,3911.0,1648.0,1784.0,479.0
geoId-VNM,2005,4578.0,2009.0,1927.0,642.0
geoId-VNM,2006,3911.0,1838.0,1481.0,592.0
geoId-VNM,2007,3862.0,1933.0,1329.0,600.0
geoId-VNM,2008,3698.0,1934.0,1269.0,495.0
geoId-VNM,2009,3668.0,1948.0,1208.0,512.0
geoId-VNM,2010,3533.0,1949.0,1114.0,470.0
geoId-VNM,2011,3472.0,1859.0,1161.0,452.0
geoId-VNM,2012,3338.0,1678.0,1212.0,448.0
geoId-VNM,2013,3609.0,1914.0,1294.0,401.0
geoId-VNM,2014,3795.0,2036.0,1342.0,417.0
geoId-VNM,2015,3667.0,1995.0,1249.0,423.0
geoId-VNM,2016,3715.0,2081.0,1203.0,431.0
geoId-VNM,2017,3988.0,2186.0,1342.0,460.0
geoId-VNM,2018,4498.0,2507.0,1490.0,501.0
geoId-VNM,2019,4894.0,2664.0,1627.0,603.0
geoId-VNM,2020,4940.0,2716.0,1661.0,563.0
geoId-VNM,2021,5199.0,2846.0,1752.0,601.0
