dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,4609.0,3033.0,1124.0,170.0,93.0,189.0
geoId-VNM,2003,4726.0,3059.0,1205.0,218.0,88.0,156.0
geoId-VNM,2004,4818.0,3103.0,1256.0,268.0,67.0,124.0
geoId-VNM,2005,4869.0,3117.0,1287.0,306.0,66.0,93.0
geoId-VNM,2006,4924.0,3130.0,1318.0,324.0,63.0,89.0
geoId-VNM,2007,4968.0,3147.0,1336.0,336.0,60.0,89.0
geoId-VNM,2008,5003.0,3163.0,1354.0,333.0,64.0,89.0
geoId-VNM,2009,5049.0,3191.0,1381.0,336.0,64.0,77.0
geoId-VNM,2010,5075.0,3195.0,1380.0,342.0,67.0,91.0
geoId-VNM,2011,5105.0,3202.0,1387.0,350.0,69.0,97.0
geoId-VNM,2012,5119.0,3191.0,1396.0,355.0,70.0,107.0
geoId-VNM,2013,5078.0,3144.0,1389.0,357.0,83.0,105.0
geoId-VNM,2014,5037.0,3103.0,1394.0,356.0,74.0,110.0
geoId-VNM,2015,5029.0,3085.0,1398.0,361.0,72.0,113.0
geoId-VNM,2016,5018.0,3064.0,1403.0,365.0,72.0,114.0
geoId-VNM,2017,4995.0,3037.0,1407.0,365.0,73.0,113.0
geoId-VNM,2019,4674.0,2717.0,1356.0,360.0,118.0,123.0
geoId-VNM,2020,4560.0,2603.0,1314.0,359.0,151.0,133.0
geoId-VNM,2021,4506.0,2547.0,1298.0,359.0,165.0,137.0
