dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,680.0,596.0,17.924
geoId-VNM,2003,,733.0,716.0,18.492
geoId-VNM,2004,59.0,820.0,732.0,22.023
geoId-VNM,2005,73.0,843.0,814.0,22.791
geoId-VNM,2006,82.0,856.0,840.0,22.4
geoId-VNM,2007,91.0,928.0,956.0,24.3
geoId-VNM,2008,95.0,1035.0,1011.0,26.9
geoId-VNM,2009,98.0,1093.0,1144.0,28.5
geoId-VNM,2010,100.0,1134.0,1205.0,28.5
geoId-VNM,2011,101.0,1141.0,1265.0,29.511
geoId-VNM,2012,108.0,1156.0,1326.0,30.478
geoId-VNM,2013,112.0,1230.0,1413.0,32.306
geoId-VNM,2014,113.0,1195.0,1447.0,33.279
geoId-VNM,2015,117.0,1220.0,1571.0,34.878
geoId-VNM,2016,120.0,1226.0,1604.0,37.711
geoId-VNM,2017,122.0,1261.0,1685.0,38.141
geoId-VNM,2018,120.0,1263.0,1744.0,36.871
geoId-VNM,2020,122.0,1291.0,1882.0,36.4
geoId-VNM,2021,121.0,1254.0,1966.0,29.328
