dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1253.0,1659.0,34.753
geoId-VNM,2003,,1267.0,1628.0,35.829
geoId-VNM,2004,144.0,1287.0,1984.0,39.321
geoId-VNM,2005,160.0,1325.0,1719.0,40.896
geoId-VNM,2006,164.0,1342.0,1805.0,41.6
geoId-VNM,2007,168.0,1370.0,1838.0,40.2
geoId-VNM,2008,172.0,1399.0,1560.0,42.0
geoId-VNM,2009,179.0,1513.0,1918.0,43.8
geoId-VNM,2010,190.0,1585.0,2306.0,45.9
geoId-VNM,2011,200.0,1568.0,2304.0,49.312
geoId-VNM,2012,211.0,1913.0,2843.0,60.755
geoId-VNM,2013,219.0,1693.0,3007.0,53.596
geoId-VNM,2014,220.0,1810.0,3060.0,52.197
geoId-VNM,2015,225.0,2082.0,3221.0,54.188
geoId-VNM,2016,227.0,1928.0,3472.0,58.432
geoId-VNM,2017,228.0,1898.0,3606.0,61.32
geoId-VNM,2018,230.0,1844.0,3524.0,59.811
geoId-VNM,2020,231.0,1893.0,3673.0,60.724
geoId-VNM,2021,231.0,1865.0,3614.0,56.181
