dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,,,,,,
geoId-VNM,2003,,,,,,
geoId-VNM,2004,219.0,160.0,43.0,,,16.0
geoId-VNM,2005,223.0,164.0,43.0,7.0,,9.0
geoId-VNM,2006,232.0,166.0,46.0,13.0,,7.0
geoId-VNM,2007,240.0,171.0,49.0,13.0,,7.0
geoId-VNM,2008,250.0,171.0,52.0,21.0,,6.0
geoId-VNM,2009,244.0,169.0,54.0,16.0,,5.0
geoId-VNM,2010,244.0,168.0,54.0,18.0,,4.0
geoId-VNM,2011,252.0,170.0,59.0,19.0,,4.0
geoId-VNM,2012,252.0,170.0,59.0,19.0,1.0,3.0
geoId-VNM,2013,256.0,171.0,61.0,19.0,1.0,4.0
geoId-VNM,2014,254.0,169.0,61.0,19.0,1.0,4.0
geoId-VNM,2015,253.0,168.0,61.0,19.0,1.0,4.0
geoId-VNM,2016,254.0,169.0,61.0,19.0,1.0,4.0
geoId-VNM,2017,255.0,170.0,61.0,19.0,1.0,4.0
geoId-VNM,2019,247.0,162.0,61.0,19.0,1.0,4.0
geoId-VNM,2020,239.0,153.0,62.0,19.0,1.0,4.0
geoId-VNM,2021,236.0,150.0,62.0,20.0,1.0,3.0
