dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1135.0,1188.0,34.139
geoId-VNM,2003,,1151.0,1251.0,33.37
geoId-VNM,2004,103.0,1204.0,1310.0,37.901
geoId-VNM,2005,112.0,1231.0,1348.0,38.544
geoId-VNM,2006,111.0,1207.0,1329.0,38.5
geoId-VNM,2007,115.0,1256.0,1423.0,41.1
geoId-VNM,2008,117.0,1311.0,1448.0,46.1
geoId-VNM,2009,128.0,1272.0,1421.0,43.3
geoId-VNM,2010,149.0,1294.0,1531.0,44.5
geoId-VNM,2011,163.0,1307.0,1751.0,45.315
geoId-VNM,2012,181.0,1366.0,1973.0,48.836
geoId-VNM,2013,179.0,1362.0,1952.0,47.556
geoId-VNM,2014,181.0,1583.0,2163.0,48.191
geoId-VNM,2015,221.0,1412.0,2271.0,47.69
geoId-VNM,2016,226.0,1486.0,2478.0,55.13
geoId-VNM,2017,228.0,1526.0,2515.0,55.918
geoId-VNM,2018,213.0,1534.0,2463.0,51.937
geoId-VNM,2020,187.0,1573.0,2674.0,51.572
geoId-VNM,2021,188.0,1566.0,2655.0,39.816
