dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,422.0,296.0,88.0,,9.0,29.0
geoId-VNM,2003,443.0,297.0,104.0,,8.0,34.0
geoId-VNM,2004,463.0,306.0,123.0,24.0,,10.0
geoId-VNM,2005,470.0,308.0,126.0,36.0,,
geoId-VNM,2006,483.0,313.0,133.0,37.0,,
geoId-VNM,2007,488.0,316.0,133.0,39.0,,
geoId-VNM,2008,493.0,316.0,137.0,40.0,,
geoId-VNM,2009,506.0,317.0,137.0,42.0,10.0,
geoId-VNM,2010,505.0,321.0,130.0,40.0,12.0,2.0
geoId-VNM,2011,506.0,321.0,130.0,41.0,12.0,2.0
geoId-VNM,2012,506.0,321.0,129.0,40.0,13.0,3.0
geoId-VNM,2013,504.0,319.0,129.0,40.0,13.0,3.0
geoId-VNM,2014,505.0,319.0,129.0,40.0,14.0,3.0
geoId-VNM,2015,505.0,320.0,129.0,40.0,13.0,3.0
geoId-VNM,2016,502.0,317.0,128.0,40.0,14.0,3.0
geoId-VNM,2017,498.0,313.0,127.0,39.0,15.0,4.0
geoId-VNM,2019,464.0,283.0,124.0,37.0,14.0,6.0
geoId-VNM,2020,453.0,271.0,122.0,37.0,16.0,7.0
geoId-VNM,2021,437.0,258.0,122.0,36.0,13.0,8.0
