dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,103027.0,52762.0,40030.0,10235.0
geoId-VNM,2005,110214.0,55985.0,42872.0,11357.0
geoId-VNM,2006,104936.0,50782.0,41562.0,12592.0
geoId-VNM,2007,91737.0,43172.0,34595.0,13970.0
geoId-VNM,2008,84578.0,40432.0,34823.0,9323.0
geoId-VNM,2009,81936.0,39480.0,32688.0,9768.0
geoId-VNM,2010,81555.0,40834.0,29886.0,10835.0
geoId-VNM,2011,81264.0,41409.0,29046.0,10809.0
geoId-VNM,2012,80022.0,42347.0,28312.0,9363.0
geoId-VNM,2013,80328.0,42983.0,27934.0,9411.0
geoId-VNM,2014,80802.0,43138.0,28190.0,9474.0
geoId-VNM,2015,82206.0,43539.0,29182.0,9485.0
geoId-VNM,2016,83176.0,43867.0,29453.0,9856.0
geoId-VNM,2017,84918.0,44695.0,30159.0,10064.0
geoId-VNM,2018,87981.0,46721.0,31155.0,10105.0
geoId-VNM,2019,90986.0,48980.0,31387.0,10619.0
geoId-VNM,2020,93738.0,49871.0,32623.0,11244.0
geoId-VNM,2021,97202.0,51606.0,33290.0,12306.0
