dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,519.0,525.0,12.546
geoId-VNM,2003,,537.0,593.0,13.335
geoId-VNM,2004,95.0,561.0,617.0,14.943
geoId-VNM,2005,112.0,709.0,767.0,18.985
geoId-VNM,2006,96.0,567.0,634.0,14.3
geoId-VNM,2007,98.0,605.0,708.0,15.3
geoId-VNM,2008,103.0,617.0,656.0,16.1
geoId-VNM,2009,108.0,625.0,744.0,16.5
geoId-VNM,2010,105.0,555.0,722.0,16.5
geoId-VNM,2011,110.0,644.0,818.0,16.727
geoId-VNM,2012,89.0,659.0,957.0,17.281
geoId-VNM,2013,89.0,674.0,909.0,17.926
geoId-VNM,2014,78.0,705.0,978.0,18.741
geoId-VNM,2015,88.0,695.0,1037.0,19.435
geoId-VNM,2016,89.0,1070.0,994.0,19.827
geoId-VNM,2017,92.0,792.0,1293.0,23.035
geoId-VNM,2018,81.0,670.0,1428.0,20.078
geoId-VNM,2020,90.0,831.0,1380.0,22.72
geoId-VNM,2021,89.0,840.0,1397.0,19.058
