dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1225.0,1024.0,33.8
geoId-VNM,2003,,1233.0,1295.0,33.169
geoId-VNM,2004,86.0,837.0,899.0,23.311
geoId-VNM,2005,91.0,929.0,1127.0,27.604
geoId-VNM,2006,92.0,1047.0,1213.0,29.3
geoId-VNM,2007,94.0,1068.0,1316.0,31.3
geoId-VNM,2008,103.0,1121.0,1431.0,33.1
geoId-VNM,2009,120.0,1232.0,1576.0,35.7
geoId-VNM,2010,122.0,1248.0,1696.0,34.7
geoId-VNM,2011,131.0,1460.0,1908.0,38.741
geoId-VNM,2012,144.0,1380.0,1959.0,38.713
geoId-VNM,2013,148.0,1472.0,2204.0,39.145
geoId-VNM,2014,161.0,1502.0,2463.0,38.398
geoId-VNM,2015,167.0,1578.0,2661.0,39.03
geoId-VNM,2016,171.0,1633.0,2870.0,44.567
geoId-VNM,2017,178.0,1933.0,2935.0,46.583
geoId-VNM,2018,180.0,1533.0,2918.0,44.448
geoId-VNM,2020,173.0,1463.0,2886.0,39.832
geoId-VNM,2021,171.0,1419.0,2808.0,33.471
