dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,765.0,780.0,16.754
geoId-VNM,2003,,822.0,935.0,18.519
geoId-VNM,2004,89.0,853.0,891.0,19.745
geoId-VNM,2005,87.0,896.0,1284.0,20.444
geoId-VNM,2006,99.0,1015.0,979.0,20.6
geoId-VNM,2007,99.0,1029.0,1082.0,22.0
geoId-VNM,2008,101.0,975.0,1146.0,22.7
geoId-VNM,2009,111.0,1076.0,1173.0,24.4
geoId-VNM,2010,114.0,1207.0,1418.0,25.3
geoId-VNM,2011,108.0,1203.0,1418.0,27.462
geoId-VNM,2012,116.0,1185.0,1481.0,29.549
geoId-VNM,2013,120.0,1234.0,1539.0,30.811
geoId-VNM,2014,122.0,1240.0,1648.0,31.285
geoId-VNM,2015,126.0,1286.0,1670.0,33.26
geoId-VNM,2016,137.0,1339.0,1787.0,35.36
geoId-VNM,2017,138.0,1365.0,1829.0,36.006
geoId-VNM,2018,138.0,1359.0,1614.0,35.289
geoId-VNM,2020,136.0,1352.0,2152.0,35.136
geoId-VNM,2021,134.0,1355.0,2113.0,34.968
