dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,,,,
geoId-VNM,2005,2765879.0,1441867.0,993947.0,330065.0
geoId-VNM,2006,2467121.0,1262769.0,898230.0,306122.0
geoId-VNM,2007,2395650.0,1222390.0,875236.0,298024.0
geoId-VNM,2008,2288011.0,1193858.0,818862.0,275291.0
geoId-VNM,2009,2278331.0,1199981.0,801167.0,277183.0
geoId-VNM,2010,2225950.0,1151116.0,763344.0,276151.0
geoId-VNM,2011,2318731.0,1244771.0,774358.0,299602.0
geoId-VNM,2012,2335243.0,1265096.0,777521.0,292626.0
geoId-VNM,2013,2398250.0,1304217.0,794439.0,299594.0
geoId-VNM,2014,2432892.0,1319029.0,816995.0,296868.0
geoId-VNM,2015,2487832.0,1354009.0,834429.0,299394.0
geoId-VNM,2016,2536992.0,1381917.0,853573.0,301502.0
geoId-VNM,2017,2598778.0,1416710.0,875977.0,306091.0
geoId-VNM,2018,2704719.0,1506702.0,892945.0,305072.0
geoId-VNM,2019,2796065.0,1547627.0,922361.0,326077.0
geoId-VNM,2020,2903908.0,1596811.0,967625.0,339472.0
geoId-VNM,2021,2976697.0,1628141.0,999780.0,348776.0
