dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1673.0,2396.0,47.045
geoId-VNM,2003,,1664.0,2341.0,46.442
geoId-VNM,2004,239.0,1886.0,2636.0,48.541
geoId-VNM,2005,229.0,1639.0,2646.0,48.438
geoId-VNM,2006,234.0,1675.0,2644.0,50.1
geoId-VNM,2007,244.0,1711.0,2784.0,52.6
geoId-VNM,2008,253.0,1740.0,2851.0,55.5
geoId-VNM,2009,252.0,1794.0,3004.0,56.9
geoId-VNM,2010,266.0,1842.0,3228.0,60.7
geoId-VNM,2011,201.0,2015.0,3658.0,68.876
geoId-VNM,2012,264.0,2213.0,4310.0,70.457
geoId-VNM,2013,290.0,2336.0,4919.0,74.321
geoId-VNM,2014,299.0,2592.0,5352.0,75.904
geoId-VNM,2015,279.0,2871.0,5611.0,83.755
geoId-VNM,2016,302.0,3861.0,6273.0,94.457
geoId-VNM,2017,311.0,3412.0,6283.0,95.162
geoId-VNM,2018,331.0,3179.0,6312.0,95.644
geoId-VNM,2020,388.0,3362.0,6492.0,96.296
geoId-VNM,2021,327.0,3256.0,6188.0,89.493
