dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,394.0,247.0,90.0,14.0,15.0,28.0
geoId-VNM,2003,404.0,250.0,97.0,15.0,14.0,28.0
geoId-VNM,2004,408.0,245.0,97.0,17.0,20.0,29.0
geoId-VNM,2005,423.0,247.0,125.0,51.0,,
geoId-VNM,2006,431.0,247.0,108.0,25.0,22.0,29.0
geoId-VNM,2007,436.0,248.0,109.0,28.0,21.0,30.0
geoId-VNM,2008,442.0,247.0,114.0,33.0,18.0,30.0
geoId-VNM,2009,455.0,249.0,122.0,38.0,20.0,26.0
geoId-VNM,2010,471.0,251.0,145.0,36.0,18.0,21.0
geoId-VNM,2011,459.0,251.0,133.0,37.0,16.0,22.0
geoId-VNM,2012,468.0,255.0,137.0,46.0,16.0,14.0
geoId-VNM,2013,470.0,254.0,140.0,47.0,17.0,12.0
geoId-VNM,2014,471.0,254.0,141.0,47.0,17.0,12.0
geoId-VNM,2015,470.0,253.0,142.0,48.0,16.0,11.0
geoId-VNM,2016,472.0,254.0,143.0,49.0,16.0,10.0
geoId-VNM,2017,473.0,256.0,145.0,48.0,14.0,10.0
geoId-VNM,2019,465.0,249.0,143.0,47.0,16.0,10.0
geoId-VNM,2020,460.0,244.0,140.0,46.0,17.0,13.0
geoId-VNM,2021,441.0,225.0,135.0,46.0,22.0,13.0
