dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,545.0,553.0,14.895
geoId-VNM,2003,,646.0,685.0,16.834
geoId-VNM,2004,37.0,750.0,826.0,20.206
geoId-VNM,2005,37.0,734.0,826.0,21.111
geoId-VNM,2006,44.0,808.0,906.0,22.5
geoId-VNM,2007,47.0,831.0,944.0,22.8
geoId-VNM,2008,53.0,891.0,1007.0,25.1
geoId-VNM,2009,60.0,955.0,1073.0,27.0
geoId-VNM,2010,67.0,1051.0,1173.0,28.7
geoId-VNM,2011,78.0,1195.0,1386.0,33.401
geoId-VNM,2012,91.0,1306.0,1545.0,36.916
geoId-VNM,2013,107.0,1419.0,1763.0,39.857
geoId-VNM,2014,123.0,1443.0,1809.0,39.108
geoId-VNM,2015,136.0,1510.0,1951.0,39.67
geoId-VNM,2016,151.0,1552.0,2116.0,45.087
geoId-VNM,2017,155.0,1620.0,2360.0,49.196
geoId-VNM,2018,160.0,1564.0,2342.0,45.665
geoId-VNM,2020,159.0,1554.0,2549.0,44.58
geoId-VNM,2021,160.0,1494.0,2505.0,34.407
