dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1151.0,1639.0,29.22
geoId-VNM,2003,,1143.0,1522.0,29.315
geoId-VNM,2004,120.0,1139.0,1644.0,29.171
geoId-VNM,2005,120.0,1134.0,1637.0,29.536
geoId-VNM,2006,120.0,1110.0,1664.0,29.4
geoId-VNM,2007,120.0,1095.0,1651.0,29.4
geoId-VNM,2008,120.0,1115.0,1490.0,30.7
geoId-VNM,2009,120.0,1100.0,1586.0,30.7
geoId-VNM,2010,120.0,1124.0,1638.0,32.0
geoId-VNM,2011,120.0,1151.0,1735.0,32.25
geoId-VNM,2012,120.0,1161.0,1946.0,34.397
geoId-VNM,2013,120.0,1152.0,1905.0,35.32
geoId-VNM,2014,116.0,1159.0,1892.0,36.735
geoId-VNM,2015,116.0,1223.0,2007.0,41.906
geoId-VNM,2016,118.0,1264.0,2051.0,44.096
geoId-VNM,2017,119.0,1553.0,2100.0,46.233
geoId-VNM,2018,120.0,1407.0,2332.0,45.702
geoId-VNM,2020,118.0,1517.0,2907.0,44.249
geoId-VNM,2021,119.0,1512.0,2808.0,42.102
