dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,854.0,814.0,22.549
geoId-VNM,2003,,866.0,933.0,21.84
geoId-VNM,2004,90.0,948.0,1074.0,24.79
geoId-VNM,2005,115.0,1135.0,1152.0,27.453
geoId-VNM,2006,117.0,1074.0,1283.0,27.8
geoId-VNM,2007,120.0,1127.0,1315.0,28.9
geoId-VNM,2008,119.0,1145.0,1395.0,30.2
geoId-VNM,2009,122.0,1183.0,1402.0,29.7
geoId-VNM,2010,122.0,1187.0,1470.0,30.3
geoId-VNM,2011,124.0,1225.0,1521.0,33.194
geoId-VNM,2012,128.0,1241.0,1604.0,35.669
geoId-VNM,2013,133.0,1272.0,1597.0,35.65
geoId-VNM,2014,125.0,1271.0,1783.0,34.287
geoId-VNM,2015,123.0,2024.0,1863.0,32.846
geoId-VNM,2016,128.0,1260.0,2127.0,39.643
geoId-VNM,2017,128.0,1294.0,2196.0,38.865
geoId-VNM,2018,128.0,1231.0,2340.0,36.789
geoId-VNM,2020,130.0,1248.0,2371.0,34.768
geoId-VNM,2021,130.0,1226.0,2368.0,26.673
