dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,63270.0,27651.0,23978.0,11641.0
geoId-VNM,2005,59030.0,24826.0,22588.0,11616.0
geoId-VNM,2006,55253.0,22400.0,21588.0,11265.0
geoId-VNM,2007,51041.0,21767.0,19563.0,9711.0
geoId-VNM,2008,44190.0,20871.0,15478.0,7841.0
geoId-VNM,2009,45396.0,20035.0,15612.0,9749.0
geoId-VNM,2010,45314.0,20946.0,15494.0,8874.0
geoId-VNM,2011,44291.0,21001.0,14498.0,8792.0
geoId-VNM,2012,43515.0,21007.0,14705.0,7803.0
geoId-VNM,2013,43416.0,21491.0,14582.0,7343.0
geoId-VNM,2014,43674.0,21529.0,14990.0,7155.0
geoId-VNM,2015,44604.0,21843.0,15576.0,7185.0
geoId-VNM,2016,45230.0,22934.0,15529.0,6767.0
geoId-VNM,2017,46421.0,23640.0,15834.0,6947.0
geoId-VNM,2018,48769.0,25782.0,16273.0,6714.0
geoId-VNM,2019,50374.0,27200.0,16406.0,6768.0
geoId-VNM,2020,52099.0,28021.0,17235.0,6843.0
geoId-VNM,2021,53932.0,28661.0,18215.0,7056.0
