dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,2001,29.5,32.9,26.0,20.4,32.5
geoId-VNM,2002,26.0,29.0,22.8,17.0,28.8
geoId-VNM,2003,21.0,23.6,18.3,13.0,21.0
geoId-VNM,2004,18.1,20.4,15.7,11.1,20.5
geoId-VNM,2005,17.8,20.1,15.4,9.7,20.4
geoId-VNM,2006,16.0,18.1,13.8,10.0,18.0
geoId-VNM,2007,16.0,18.1,13.8,9.8,18.8
geoId-VNM,2008,15.0,17.0,12.9,10.0,15.0
geoId-VNM,2009,16.0,18.1,13.8,9.4,18.7
geoId-VNM,2010,15.8,17.9,13.6,9.2,18.2
geoId-VNM,2011,15.5,17.5,13.4,8.5,18.1
geoId-VNM,2012,15.4,17.5,13.3,8.9,18.3
geoId-VNM,2013,15.3,17.4,13.2,8.9,18.3
geoId-VNM,2014,14.9,16.9,12.9,8.7,17.8
geoId-VNM,2015,14.7,16.7,12.7,8.6,17.6
geoId-VNM,2016,14.5,16.4,12.5,8.5,17.5
geoId-VNM,2017,14.4,16.3,12.3,8.4,17.3
geoId-VNM,2018,14.2,16.1,12.2,8.3,17.1
geoId-VNM,2019,14.0,15.8,12.0,8.2,16.7
geoId-VNM,2020,13.9,15.7,11.9,8.1,16.4
geoId-VNM,2021,13.65,15.48,11.72,7.2,13.8
geoId-VNM,Sơ bộ 2022,12.09,13.75,10.35,6.96,12.79
