"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-TGG,40.0,40.4,40.9,43.8,43.0,40.8,41.3,41.9,43.4,45.9,46.7,43.5,47.5,47.4,47.2,48.3,49.3,50.2,51.3,53.1,53.7,54.2,55.9,55.9,55.0,54.5,58.5,57.0
geoId-HCM,33.8,35.6,32.0,33.3,33.3,35.0,33.6,32.8,34.2,35.7,30.1,29.4,35.0,37.9,37.7,38.5,40.7,41.3,41.9,42.0,43.8,43.2,45.1,46.6,48.3,50.5,50.2,52.0
geoId-TVH,44.1,34.9,34.0,32.7,40.0,41.8,37.3,40.7,41.9,41.7,40.1,41.3,47.4,47.8,48.1,46.6,53.3,54.2,51.8,50.7,52.3,47.9,49.0,52.5,51.8,50.3,51.4,47.6
geoId-TNN,,,22.1,25.8,20.4,28.8,27.7,24.4,34.4,36.9,40.8,39.1,43.2,43.3,42.5,41.9,45.0,48.7,48.7,49.5,50.0,52.0,52.8,56.1,49.2,54.2,55.7,54.7
geoId-TNH,26.6,28.3,28.1,28.4,31.5,31.8,31.0,33.9,36.3,40.4,38.5,41.5,42.8,45.0,45.9,44.7,47.8,48.6,49.0,50.3,51.0,51.4,52.6,53.2,52.6,52.9,53.7,53.3
geoId-VLG,36.0,34.9,36.5,33.9,37.0,38.2,36.1,38.3,38.2,39.5,40.5,40.0,43.7,42.6,44.4,46.1,51.6,52.8,54.2,54.9,55.0,47.5,53.3,56.5,56.1,57.3,55.4,53.8
geoId-DNG,48.5,49.0,47.9,44.4,46.7,44.3,42.5,41.7,40.0,,,,,,,,,,,,,,,,,,,
geoId-ST,30.4,31.4,29.0,29.1,30.7,32.6,31.4,32.8,35.3,38.5,37.8,38.5,41.0,42.7,43.5,42.8,46.4,47.2,47.5,48.6,49.4,50.0,50.9,52.2,52.0,53.0,53.9,54.5
geoId-MRD,37.9,34.6,34.8,35.3,37.1,37.2,37.2,40.2,40.1,43.8,44.5,41.0,46.1,47.7,47.4,48.5,51.9,52.8,52.4,53.1,53.5,52.9,53.8,54.6,55.2,55.6,56.9,56.4
geoId-DNI,34.0,34.2,29.3,28.0,27.8,33.6,31.6,32.0,35.6,38.1,40.5,37.8,41.7,42.3,43.2,42.4,47.4,48.5,48.8,49.5,50.5,51.7,51.5,53.3,52.7,55.2,56.3,57.5
geoId-DTP,36.2,36.5,35.8,34.7,39.0,33.3,36.0,39.7,40.0,45.1,47.0,42.7,47.0,48.7,50.2,51.8,55.0,55.4,55.6,56.1,56.9,57.7,59.3,60.1,60.5,61.3,61.8,63.2
