dia phuong,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,2.41,2.42,2.1,1.88,1.73,1.42,1.41,1.05,1.97,1.79,,,,,,,,,5.23,4.63,4.66,
