dia phuong,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,1.03,1.07,1.19,1.37,1.23,1.2,1.8,1.71,2.13,2.1,2.18,1.61,1.64,1.83,2.2,2.41,2.13,2.26,2.59,2.31,2.4,2.62
