dia phuong,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,1.95,3.59,2.65,4.18,5.11,2.45,1.8,2.09,2.49,4.36,2.67,3.35,2.53,2.48,12.15,13.83,15.25,14.66,13.87,15.27,9.72,9.16
