dia phuong,2000,2001,2002,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,243049.0,262846.0,304262.0,1132688.0,1484333.22,2165704.9,2585776.82,2988421.89,3436103.74,3785661.31,4179207.04,5146055.08,5917275.6,6563265.82,6787981.23,7965513.43,8957827.26
