dia phuong,Năm,Tổng số,Bán lẻ,"Dịch vụ lưu trú, ăn uống",Dịch vụ và du lịch
geoId-VNM,1990,19031.2,16747.4,2283.8,
geoId-VNM,1991,33403.6,29183.3,4220.3,
geoId-VNM,1992,51214.5,44778.3,6436.2,
geoId-VNM,1993,67273.3,58424.4,8848.9,
geoId-VNM,1994,93490.0,74091.0,11656.0,7743.0
geoId-VNM,1995,121160.0,94863.0,16957.0,9340.0
geoId-VNM,1996,145874.0,117547.0,18950.0,9377.0
geoId-VNM,1997,161899.7,131770.4,20523.5,9605.8
geoId-VNM,1998,185598.1,153780.6,21587.7,10229.8
geoId-VNM,1999,200923.7,166989.0,21672.1,12262.6
geoId-VNM,2000,220410.6,183864.7,23506.2,13039.7
geoId-VNM,2001,245315.0,200011.0,30535.0,14769.0
geoId-VNM,2002,280884.0,221569.7,35783.8,23530.5
geoId-VNM,2003,333809.3,262832.6,39382.3,31594.4
geoId-VNM,2004,398524.5,314618.0,45654.4,38252.1
geoId-VNM,2005,480293.5,373879.4,58429.3,47984.8
geoId-VNM,2006,596207.1,463144.1,71314.9,61748.1
geoId-VNM,2007,746159.4,574814.4,90101.1,81243.9
geoId-VNM,2008,1007213.5,781957.1,113983.2,111273.2
geoId-VNM,2009,1405864.6,1116476.6,158847.9,130540.1
geoId-VNM,2010,1677344.7,1254200.0,212065.2,211079.5
geoId-VNM,2011,2079523.5,1535600.0,260325.9,283597.6
geoId-VNM,2012,2369130.6,1740359.7,305651.0,323119.9
geoId-VNM,2013,2615203.6,1964666.5,315873.2,334663.9
geoId-VNM,2014,2916233.9,2189448.4,353306.5,373479.0
geoId-VNM,2015,3223202.6,2403723.2,399841.8,419637.6
geoId-VNM,2016,3546268.6,2648856.7,439892.3,457519.6
geoId-VNM,2017,3956599.1,2967484.7,488615.6,500498.8
geoId-VNM,2018,4393525.5,3308059.0,534168.5,551298.0
geoId-VNM,2019,4892114.39,3694559.9,595936.91,601617.59
geoId-VNM,2020,4847645.3,3815079.1,479715.6,552850.58
geoId-VNM,2021,4407812.44,3639186.54,364676.75,403949.15
geoId-VNM,Sơ bộ 2022,5363264.67,4202440.08,565934.63,594889.96
