"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HPG,29.8,28.0,25.6,22.9,21.2,17.2,15.4,12.9,12.2,10.9,10.5,10.0,9.5,9.0,9.4,8.9,8.3,8.0,7.6,7.0,6.8,5.6,5.4,5.2,4.8,4.6,4.5,4.5
geoId-HGG,,,,,,,,,,1.0,1.2,1.6,1.5,1.7,1.8,1.9,2.0,1.9,1.7,1.6,1.5,1.5,1.6,1.5,1.5,1.5,1.4,1.3
geoId-KHA,13.4,7.8,7.2,6.7,6.7,6.8,5.3,5.1,4.9,5.2,5.3,4.8,5.1,5.3,4.9,5.1,4.8,4.6,4.7,4.6,4.6,4.4,4.3,4.3,4.0,4.2,3.5,3.8
geoId-KGG,15.2,13.7,12.1,10.7,9.2,8.7,7.6,6.8,6.4,7.2,7.4,8.4,8.5,9.7,10.0,9.3,9.1,7.9,7.0,6.3,6.0,5.3,5.3,5.0,4.5,4.5,4.6,4.9
geoId-KTM,10.0,10.5,11.4,12.3,11.9,11.8,11.6,11.8,12.8,13.4,14.1,15.4,18.1,19.3,20.1,21.1,20.4,20.6,21.0,21.5,22.6,23.0,23.1,23.8,23.8,24.8,25.0,24.0
geoId-LCU,102.9,105.8,109.5,118.2,122.6,127.1,134.6,139.0,144.1,79.8,84.7,86.1,92.4,89.0,92.8,98.8,96.0,89.3,90.2,95.6,100.8,97.8,99.0,99.3,95.2,92.7,92.8,93.1
geoId-LAN,28.9,28.1,26.5,25.5,25.0,22.4,11.6,10.7,10.9,11.4,12.8,11.9,11.4,14.5,13.6,15.5,14.9,13.5,13.2,13.0,13.1,12.1,10.6,7.5,7.5,6.0,6.0,5.7
geoId-LCI,90.9,92.9,94.5,98.2,100.4,100.3,117.0,120.9,124.4,102.4,106.7,121.3,127.0,125.5,131.0,134.9,123.6,123.7,120.9,122.1,125.0,130.0,131.5,127.6,122.6,112.3,107.2,105.2
geoId-LDG,22.8,22.3,22.4,23.1,20.0,17.5,14.2,14.5,16.2,17.0,17.8,16.8,18.0,18.5,18.9,19.0,17.4,18.0,17.3,15.7,15.9,15.0,14.7,14.9,13.8,13.2,13.9,14.3
geoId-LSN,198.6,198.7,204.4,211.0,218.2,188.8,185.2,185.2,188.2,188.7,188.5,175.1,182.2,160.9,155.7,155.4,132.3,122.7,119.8,120.7,123.5,121.4,118.1,87.7,83.6,79.2,63.8,67.3
geoId-NDH,18.2,16.8,15.3,14.1,13.8,12.6,9.7,9.4,9.3,9.1,9.1,8.0,8.0,6.8,6.2,6.6,6.6,6.5,6.3,6.3,6.9,7.3,7.7,7.6,7.6,7.7,7.7,7.8
geoId-NAN,247.0,250.1,253.5,257.3,261.2,265.9,271.7,283.4,287.9,288.8,293.6,286.6,292.2,296.5,306.1,308.6,300.1,296.4,292.0,296.2,296.7,290.9,282.9,273.9,268.5,268.3,268.0,267.6
geoId-NBH,25.4,22.9,22.1,22.1,22.2,21.9,19.1,18.8,19.0,19.8,20.4,17.0,16.8,15.8,15.2,14.8,15.0,14.7,14.5,14.7,15.4,15.3,14.9,14.3,12.7,12.7,12.9,13.0
geoId-NTN,10.3,10.4,9.5,8.6,7.1,6.1,5.4,5.1,5.0,5.2,4.3,4.5,4.4,4.0,4.2,4.3,4.2,4.0,3.9,3.8,3.7,3.8,3.9,3.9,3.8,3.9,3.9,3.9
geoId-PTO,84.8,85.8,84.9,86.2,87.6,88.5,90.7,92.3,94.3,96.1,97.1,92.9,95.2,89.2,88.8,88.5,77.3,73.5,70.9,71.6,72.1,71.5,67.0,62.5,57.0,56.7,54.7,55.2
geoId-PYN,3.2,3.2,3.2,3.3,3.2,3.4,2.4,2.5,2.5,2.6,2.7,3.7,3.8,2.9,2.9,3.0,3.6,3.7,3.9,4.1,4.2,5.6,5.8,5.9,6.1,6.0,5.8,5.7
geoId-QBH,28.4,28.9,29.4,29.4,29.4,30.1,33.6,35.8,36.0,36.7,37.5,39.4,41.2,41.3,41.7,41.7,34.0,33.7,33.1,34.9,35.7,37.2,38.0,35.0,32.4,33.7,32.8,32.9
geoId-QNM,49.8,50.7,51.4,52.3,51.9,52.7,53.8,56.4,57.7,59.3,61.6,79.0,81.7,81.2,79.5,79.4,71.0,70.4,69.6,70.8,72.3,69.1,68.8,63.0,61.8,59.3,58.5,57.9
geoId-QNI,47.0,41.7,41.9,41.9,43.2,43.6,43.1,42.9,43.8,44.5,48.3,47.4,50.1,52.2,53.4,56.5,59.0,60.6,61.5,63.6,66.9,68.9,70.7,70.7,69.1,69.3,68.0,67.1
geoId-QNH,62.1,63.9,64.4,66.1,65.0,64.4,61.8,62.1,62.1,61.8,63.2,63.5,66.1,64.1,63.9,63.8,56.6,53.4,46.5,45.5,45.9,46.2,46.7,45.8,38.6,33.0,26.3,24.0
geoId-QTI,37.4,38.7,39.1,35.5,34.7,35.4,37.1,36.0,36.5,37.9,40.9,40.9,39.7,35.6,32.6,30.6,29.1,28.1,27.9,27.5,27.2,26.7,26.4,24.3,22.4,21.7,22.7,21.2
geoId-STG,14.0,11.0,7.9,6.0,4.6,3.1,2.0,1.5,1.4,1.4,1.5,2.2,2.6,2.8,3.3,3.3,3.4,3.7,3.2,2.8,2.9,2.9,2.8,2.7,2.4,2.6,2.6,2.4
geoId-SLA,107.3,111.3,114.6,115.3,116.1,119.2,128.7,130.8,133.1,139.6,143.8,155.2,162.1,158.6,162.5,170.2,166.1,168.5,158.4,153.0,150.8,145.6,143.3,137.5,130.1,124.3,118.1,114.5
geoId-THA,220.9,219.0,217.6,215.9,214.9,216.5,215.4,204.4,212.4,216.7,224.1,224.6,234.7,227.3,210.5,207.9,206.2,195.9,190.2,192.8,195.6,201.7,200.7,198.0,194.8,192.2,177.0,163.3
geoId-TBH,21.1,17.3,15.5,13.7,12.4,11.1,8.0,7.6,7.1,6.7,6.7,5.4,5.8,5.6,5.5,5.5,5.1,4.3,5.8,5.9,5.8,5.7,6.1,6.3,6.4,6.9,6.9,7.1
geoId-TNN,103.0,136.0,134.7,135.9,137.3,135.9,122.1,121.5,114.7,112.3,111.1,109.1,108.6,106.9,96.7,93.5,73.9,70.6,69.9,69.6,69.6,62.0,57.2,51.0,46.0,44.4,45.1,43.9
geoId-TTH,37.3,37.1,36.5,36.4,31.6,32.0,27.6,28.7,29.3,30.3,32.2,36.9,38.0,30.8,28.4,27.4,25.6,23.5,21.5,21.6,21.6,22.4,22.6,20.9,16.6,14.4,14.2,15.2
geoId-TGG,4.9,2.9,2.0,1.7,1.3,0.9,0.8,0.9,0.8,0.6,0.6,0.5,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.2
geoId-HCM,26.5,22.3,22.3,20.4,10.8,7.9,8.1,7.2,6.2,5.6,6.3,6.1,4.8,4.0,3.9,4.4,5.1,5.4,5.6,5.6,5.5,5.0,5.4,4.5,4.9,4.9,4.6,4.6
geoId-NT,1467.8,1494.2,1521.5,1559.7,1591.0,1562.0,1537.8,1550.6,1561.4,1589.1,1616.3,1639.4,1697.2,1624.4,1626.3,1658.0,1506.2,1453.6,1424.2,1438.2,1467.5,1478.7,1462.5,1391.2,1332.4,1293.9,1245.3,1237.9
geoId-TVH,15.3,14.5,13.2,12.5,9.6,7.6,4.2,4.0,3.7,2.9,2.8,2.5,2.4,2.4,2.2,2.2,2.2,1.6,1.3,1.1,1.0,0.8,0.7,0.4,0.3,0.3,0.3,0.2
geoId-TQG,122.9,126.3,129.4,132.5,134.6,137.4,136.7,131.8,129.5,131.8,133.1,138.4,143.2,145.1,144.8,146.6,116.9,104.9,102.8,106.6,110.2,113.7,110.7,103.6,96.6,92.9,91.7,90.1
geoId-TNN,69.1,73.2,65.8,63.5,71.8,68.4,61.6,62.1,65.8,68.8,71.9,79.0,84.7,88.6,89.8,94.2,90.8,91.7,92.8,93.2,94.2,99.9,98.4,96.7,96.4,86.6,89.5,85.4
geoId-TNH,51.9,53.8,53.4,51.3,52.6,50.4,48.3,48.9,44.7,42.5,41.4,30.9,27.8,25.0,27.8,28.5,29.3,27.2,24.1,22.0,20.4,16.9,14.3,13.6,10.5,9.7,9.2,9.1
geoId-VLG,5.7,5.5,5.4,5.1,0.8,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1
geoId-VPC,35.7,36.1,36.6,36.5,37.1,37.2,32.6,33.4,33.2,32.3,31.6,27.9,26.7,25.1,26.0,27.0,24.2,21.4,21.5,20.5,20.2,20.1,18.9,18.1,17.6,18.2,17.7,16.9
geoId-YBI,75.5,77.6,79.1,81.1,82.2,83.3,87.6,89.2,93.2,96.3,101.1,107.1,111.7,110.0,112.4,116.2,102.3,97.4,96.4,98.2,102.6,104.7,106.9,99.4,94.0,93.8,91.4,92.0
geoId-DBN,,,,,,,,,,95.9,99.6,101.2,105.2,107.9,111.1,115.4,113.4,116.2,119.5,121.5,125.2,128.2,125.4,129.2,134.3,136.0,134.0,136.5
geoId-DNG,3.5,3.4,3.2,2.9,2.9,2.7,2.6,2.6,2.5,2.3,2.3,2.4,2.3,2.3,2.2,2.1,2.0,1.9,1.9,1.9,2.3,2.1,2.3,2.2,2.2,2.1,2.1,1.1
geoId-ST,126.7,123.3,120.2,116.7,107.7,101.5,97.8,98.9,93.3,92.1,91.5,73.0,67.6,61.1,63.0,62.0,60.0,57.2,53.2,49.5,48.5,43.5,41.4,39.5,37.0,36.1,35.8,34.4
geoId-DLK,21.8,25.2,16.3,12.2,23.1,22.7,21.1,22.0,23.0,20.4,21.6,28.1,29.4,31.1,30.9,33.2,31.7,32.1,33.8,35.2,34.9,40.8,39.8,38.9,39.5,29.1,29.7,28.6
geoId-DNG1,,,,,,,,,,4.2,4.9,6.7,7.2,7.5,7.5,7.7,7.8,7.0,6.5,6.2,6.4,6.0,5.7,5.3,5.3,4.7,5.1,4.8
geoId-MRD,124.6,112.5,98.9,90.2,75.8,63.7,40.2,37.3,35.8,36.4,38.8,38.8,38.1,43.1,43.3,45.0,43.9,40.7,37.2,35.3,34.3,31.3,29.3,25.0,23.0,22.5,21.4,21.5
geoId-RRD,349.6,333.2,316.2,302.7,293.7,278.1,244.0,233.3,227.1,216.4,209.1,184.1,176.9,171.6,170.6,168.7,155.3,145.7,139.4,138.9,139.9,137.0,137.7,133.8,125.7,124.9,120.7,119.7
geoId-DNI,12.4,10.5,10.1,9.6,8.7,7.9,7.7,6.7,6.0,6.1,6.0,6.0,5.7,4.7,4.8,4.0,3.5,3.4,3.0,2.7,3.3,3.0,2.9,3.0,3.9,3.9,4.1,3.9
geoId-DTP,3.9,3.8,3.1,2.6,2.1,1.8,1.7,1.5,1.5,1.4,1.3,1.7,1.6,1.6,1.7,1.8,2.1,2.4,2.5,2.5,2.6,2.6,2.6,2.9,3.0,3.0,2.6,2.7
