Năm,Tổng số,Trung ương,Địa phương
2010,364286.0,174129.0,
2011,324940.0,143058.0,
2012,368629.0,160873.0,
2013,392359.0,168189.0,
2014,413319.0,185254.0,
2015,425225.0,206659.0,
2016,453106.0,221116.0,
2017,468411.0,206897.0,
2018,463566.0,191453.0,
2019,461107.0,187855.0,
2020,518787.0,209797.0,
2021,491046.0,193615.0,
Sơ bộ 2022,534559.0,203936.0,
