Năm,Tổng số,Trung ương,Địa phương
2010,364286.0,174129.0,
2011,387576.0,167824.0,
2012,459504.0,196897.0,
2013,493724.0,207611.0,
2014,529468.0,232892.0,
2015,556380.0,265393.0,
2016,587110.0,281226.0,
2017,616459.0,268160.0,
2018,630142.0,256468.0,
2019,643094.0,259553.0,
2020,734735.0,294923.0,
2021,719293.0,281463.0,
Sơ bộ 2022,824657.0,312215.0,
