Năm,Tổng số,Trung ương,Địa phương
2010,,,
2011,89.2,82.16,
2012,113.45,112.45,
2013,106.44,104.55,
2014,105.34,110.15,
2015,102.88,111.55,
2016,106.56,107.0,
2017,103.38,93.57,
2018,98.97,92.54,
2019,99.47,98.12,
2020,112.51,111.68,
2021,94.65,92.29,
Sơ bộ 2022,108.86,105.33,
