"Tỉnh, thành phố",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
geoId-TGG,1436.0,1149.0,1221.0,1126.0,1337.0,1145.0,1280.0,1465.0,1546.0,1694.0,1448.0,1184.0
geoId-HCM,2102.0,1819.0,2011.0,2002.0,1906.0,2586.0,2983.0,2635.0,2591.0,2070.0,1803.0,319.0
geoId-NT,10940.0,10406.0,10738.0,12198.0,12475.0,14132.0,14006.0,14633.0,15473.0,16340.0,16456.0,16281.0
geoId-TVH,1319.0,1118.0,1133.0,901.0,957.0,1245.0,1379.0,1313.0,1491.0,1396.0,1170.0,1043.0
geoId-TQG,1151.0,1120.0,1206.0,1077.0,988.0,1056.0,983.0,966.0,805.0,774.0,768.0,891.0
geoId-TNN,3292.0,4071.0,5254.0,5552.0,5858.0,6023.0,5750.0,5658.0,5579.0,5573.0,5848.0,6127.0
geoId-TNH,1964.0,1684.0,1598.0,1721.0,1295.0,1391.0,1378.0,1910.0,2097.0,2127.0,2288.0,2096.0
,70814.0,74101.0,78741.0,80646.0,84036.0,88620.0,94145.0,95059.0,97774.0,101245.0,99619.0,95926.0
geoId-VLG,1105.0,1117.0,1154.0,1160.0,1133.0,1228.0,1338.0,1345.0,1410.0,1456.0,1443.0,1292.0
geoId-VPC,452.0,1572.0,1258.0,763.0,1290.0,1343.0,1132.0,1536.0,1663.0,1768.0,1862.0,2003.0
geoId-YBI,793.0,779.0,737.0,769.0,742.0,775.0,750.0,838.0,918.0,888.0,877.0,946.0
geoId-DBN,467.0,465.0,568.0,513.0,461.0,497.0,446.0,464.0,487.0,532.0,567.0,583.0
geoId-DNG,657.0,837.0,792.0,736.0,751.0,810.0,691.0,568.0,684.0,657.0,588.0,583.0
geoId-ST,8012.0,7068.0,8709.0,9616.0,9061.0,10672.0,11515.0,9576.0,9777.0,9389.0,9392.0,6004.0
geoId-DLK,574.0,786.0,1759.0,1858.0,1677.0,1857.0,1386.0,1712.0,1790.0,1433.0,1455.0,1600.0
geoId-DNG1,586.0,510.0,597.0,533.0,572.0,608.0,628.0,589.0,561.0,563.0,594.0,563.0
geoId-MRD,15618.0,17402.0,17437.0,16429.0,17831.0,18405.0,19506.0,17890.0,17135.0,17402.0,16593.0,15554.0
geoId-RRD,16957.0,19257.0,20058.0,19714.0,20452.0,20402.0,23890.0,26414.0,28276.0,29785.0,28827.0,29223.0
geoId-DNI,2023.0,1439.0,1927.0,2417.0,1988.0,2363.0,2535.0,1960.0,2321.0,2397.0,2714.0,1352.0
geoId-DTP,981.0,1122.0,1366.0,1450.0,1818.0,1953.0,2040.0,1891.0,1460.0,1458.0,1240.0,1215.0
