dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài Nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,2000,32468.24,11087.73,21380.51,
geoId-VNM,2001,35624.2,13345.27,22095.61,183.32
geoId-VNM,2002,39353.54,15309.96,23858.84,184.74
geoId-VNM,2003,44378.9,16572.5,27556.7,249.7
geoId-VNM,2004,51167.0,20300.0,30575.8,291.2
geoId-VNM,2005,57695.7,22845.1,34249.6,601.0
geoId-VNM,2006,63908.8,24380.2,38984.4,544.2
geoId-VNM,2007,71864.6,27364.9,43868.5,631.2
geoId-VNM,2008,78180.0,29004.8,48327.5,847.7
geoId-VNM,2009,85202.7,30218.2,53398.9,1585.6
geoId-VNM,2010,97931.8,34727.7,61519.1,1685.0
geoId-VNM,2011,108709.0,36453.2,70476.4,1779.4
geoId-VNM,2012,116043.7,36442.3,77561.9,2039.5
geoId-VNM,2013,124528.2,39599.1,82690.5,2238.6
geoId-VNM,2014,139060.4,41899.8,94798.2,2362.4
geoId-VNM,2015,154664.7,44087.2,108088.8,2488.7
geoId-VNM,2016,169076.9,47195.4,119270.2,2611.3
geoId-VNM,2017,186834.4,51152.2,132841.3,2840.9
geoId-VNM,2018,206672.69,55621.72,148072.2,2978.78
geoId-VNM,2019,230747.19,59994.27,167394.29,3358.63
geoId-VNM,2020,151100.54,15613.22,132808.21,2679.1
geoId-VNM,2021,93805.28,9661.94,82445.46,1697.88
geoId-VNM,Sơ bộ 2022,183574.23,19110.08,161159.81,3304.34
