Vùng,2018,2019,2020,2021,Sơ bộ 2022
,1.97,2.09,2.01,3.15,2.36
geoId-RRD,2.02,1.96,1.85,2.41,2.05
geoId-NT,0.92,1.58,0.96,2.67,2.39
geoId-SCC,2.37,2.48,2.65,3.21,2.31
geoId-TNN,0.56,1.28,1.14,0.71,0.51
geoId-ST,2.66,2.44,2.56,4.52,3.09
geoId-MRD,2.05,2.09,1.98,3.63,2.59
