"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HPG,5262.47,6885.45,11245.63,11041.7,12573.0,12935.5,13519.9,19881.0,23201.1,23363.6,25466.3,31374.5,36833.7,40811.7,43822.3,48029.2,54638.1,64855.4,76010.5,90216.9,93374.5,103982.42,122474.97
geoId-HGG,,,,638.0,688.0,706.0,715.0,814.4,918.0,994.0,1089.7,1188.9,1306.6,1498.5,1585.0,1721.1,1847.8,1923.6,1988.8,2002.2,2148.4,2237.56,2417.46
geoId-KHA,4102.0,4425.0,4009.0,5836.0,7015.0,7760.0,8569.0,8644.1,10180.0,11988.8,13283.6,12664.0,14247.0,14916.6,15886.2,16696.4,19933.8,21747.8,23183.1,25115.8,18743.2,17455.71,24350.68
geoId-KGG,569.0,578.0,662.0,670.0,834.0,1065.0,1161.2,1161.7,1342.0,1526.5,1698.0,1854.0,2140.0,2415.0,2598.0,2834.0,3033.0,3218.0,3494.8,3909.3,3308.4,2110.0,2652.0
geoId-KTM,516.0,586.0,665.0,720.0,885.0,1032.0,1428.0,1738.0,1794.0,2323.5,2486.1,2890.1,3104.0,3467.2,3678.7,4087.0,4509.6,4856.9,5332.8,5884.8,6155.0,6219.01,7962.2
geoId-LCU,,,,240.0,219.0,435.5,510.0,591.0,683.0,757.0,885.2,979.4,1208.8,1021.7,1040.9,1103.7,1224.0,1193.4,1468.6,1706.8,1620.0,1668.6,1768.47
geoId-LAN,2406.0,2442.0,2703.0,2770.0,2229.0,3367.0,3566.0,3476.8,4174.0,4359.0,4422.9,4018.9,4127.4,4329.6,4309.1,4628.0,4924.1,5337.8,5617.5,5749.5,5953.3,6054.39,6169.64
geoId-LCI,357.3,365.0,357.0,407.0,529.7,616.8,741.8,983.0,1223.0,1430.0,1605.9,1900.9,2271.6,2805.4,2912.4,3244.4,3329.4,3955.3,5252.7,6129.3,4680.7,5981.0,7113.01
geoId-LDG,1468.0,1675.0,1674.8,1728.0,1940.3,2359.9,2938.8,3330.9,3842.0,4336.0,5166.2,6048.3,6628.9,7844.6,8184.7,6255.4,10774.4,11291.5,12648.0,14680.0,16573.0,17251.89,21288.33
geoId-LSN,2183.0,2344.0,2851.0,2860.0,2432.0,1509.0,1640.0,1878.0,2263.0,3121.0,3768.0,4034.8,4411.3,4886.2,5112.9,6007.6,5973.3,5710.6,5861.5,6920.7,6462.7,5154.0,6034.0
geoId-NDH,2043.0,2155.0,2414.0,2722.0,2958.0,3136.0,3346.0,3676.0,4022.0,4783.0,5365.1,5653.6,6623.1,7134.1,7514.2,8205.3,9823.4,10363.7,11607.3,13473.8,12288.1,12596.7,15266.05
geoId-NAN,5848.0,6258.49,8405.0,9998.0,13211.9,17836.0,20599.0,21884.0,24002.0,26272.0,28242.4,34229.8,39361.4,44102.8,49497.4,50668.0,55360.9,63332.9,86956.0,104064.3,115071.2,124311.47,150653.01
geoId-NTN,693.0,790.0,962.0,1000.0,1050.0,1312.0,1885.0,2114.0,2376.0,2916.0,3244.1,3549.4,4022.4,4279.3,4551.6,5134.9,5699.9,6053.3,5312.1,5906.5,5649.6,4956.96,6766.25
geoId-NBH,2645.0,3584.0,3885.0,4101.0,4744.0,4838.0,5657.0,8257.0,9186.0,10620.0,11800.3,16841.6,17003.4,18044.8,19819.0,22728.5,24582.9,25000.8,24025.8,24965.3,25339.8,27036.08,37816.35
geoId-PTO,2241.1,2960.92,3553.1,4784.0,5483.0,6830.0,8982.0,12225.0,14022.1,13773.0,14533.2,16108.0,20363.5,20444.4,22050.8,22617.5,24270.8,24416.5,28445.2,28999.9,30256.8,27942.94,31216.48
geoId-PYN,2870.0,2954.0,3087.0,3270.0,3564.0,3894.0,4486.0,4868.0,5496.0,5618.0,6582.9,7414.7,8329.9,8838.0,9394.8,9932.4,10828.0,11326.1,12037.1,12959.0,12198.9,9703.84,10650.64
geoId-QNM,1203.0,1336.0,1503.0,1764.0,1379.5,2855.0,3125.6,3931.0,4208.0,4946.0,5923.3,6803.7,6672.4,11122.7,11701.1,9314.0,14205.1,16321.7,17087.2,18206.0,13500.6,15113.52,11561.65
geoId-QNI,703.0,821.0,900.0,903.0,1012.0,1090.0,1983.0,2648.0,2615.0,2994.0,3146.7,5463.7,6674.1,6673.7,7139.3,8200.3,8910.1,11333.6,12440.5,13628.5,10506.0,9819.56,13468.39
geoId-QBH,2749.0,3399.0,4249.0,4851.0,4967.0,5525.0,4572.0,5023.0,6069.0,6996.0,7710.3,9175.2,10404.7,12860.3,14329.3,17672.0,18698.2,18773.0,20594.0,22692.4,22871.5,24495.38,27459.38
geoId-QNH,4219.0,4631.0,5279.0,5316.0,6270.0,6811.0,7551.0,9056.6,9962.2,10958.5,11966.7,13996.7,15494.4,17204.9,18385.9,21045.0,24643.7,27502.4,31572.7,36753.1,42008.8,47259.9,56378.94
geoId-QTI,1264.0,1527.0,1829.0,1800.0,2190.0,2997.6,2950.0,3069.0,3960.0,4784.2,5709.6,5984.0,5963.9,6649.6,7233.1,8089.2,8469.1,8926.4,9158.1,10634.2,10296.0,11160.32,13462.95
geoId-STG,575.0,591.0,613.0,633.0,696.0,698.0,725.0,727.1,908.9,1136.1,1215.6,1777.0,2031.0,2539.1,2595.0,2885.6,3214.8,3537.9,3733.2,4381.0,4450.4,4977.1,6233.21
geoId-SLA,754.0,987.0,1128.0,1501.0,2047.0,2022.0,2150.0,2332.0,2543.0,2650.0,2905.6,3039.5,3183.2,3387.3,3703.4,3974.4,4151.1,5201.3,5124.0,5567.4,6023.9,5227.4,5887.4
geoId-THA,6416.0,6757.0,7072.0,7430.0,7889.0,8979.0,10733.0,12455.0,13906.0,16746.0,18956.5,23994.6,27099.3,30528.9,33181.3,36266.5,41863.0,46677.2,51134.9,54223.5,47893.6,51847.85,58507.95
geoId-TNN,2462.0,2869.0,3321.0,4102.0,6107.4,7346.2,7936.0,9594.0,10294.0,12185.0,14216.4,16964.6,18212.4,19087.0,20532.1,21414.1,24459.2,30094.6,32231.3,33944.4,34481.6,45133.43,49678.56
geoId-TBH,2237.8,2487.5,2822.3,3030.8,3287.3,4817.4,4720.7,4772.9,5498.0,5137.0,7857.8,9941.0,9815.5,6514.0,6978.6,7144.0,7965.5,8244.4,6455.4,7799.2,7643.2,8422.81,10878.06
,1512.0,1778.2,2713.0,2678.0,3079.7,4526.0,4503.0,4871.0,5552.9,5619.0,5685.8,4171.6,4839.2,5219.9,5608.3,6068.2,6630.1,7114.1,7974.9,8801.8,8787.3,9272.45,9515.38
geoId-TGG,1743.0,1708.0,1652.0,1564.0,1854.0,1950.0,2315.0,1948.0,2131.0,2334.0,2763.6,3281.0,3703.9,4032.9,4165.8,4112.8,4466.1,4640.3,4697.4,4917.7,3446.6,2445.82,2989.72
geoId-HCM,16241.0,17884.0,18388.0,20049.0,21919.0,20252.0,21353.6,30460.8,34328.0,35013.6,41787.5,46258.8,51948.5,58909.7,65519.3,73447.2,78441.6,93712.1,105988.4,119766.9,105993.7,109385.51,135829.36
geoId-NT,16755.04,19897.55,23019.46,29581.1,34924.6,38659.6,42097.6,50024.4,56339.7,62393.4,69280.7,78977.8,87770.9,90364.6,96401.0,102464.2,111285.8,122576.7,141041.4,150508.0,147473.6,153371.9,175337.93
geoId-TVH,495.0,565.0,735.0,1076.0,1577.0,1844.3,2220.4,2332.7,2426.0,1859.8,1911.4,2035.1,2619.0,3064.6,3153.4,3330.0,3965.7,4560.6,4692.8,5280.6,3637.0,2774.5,4890.1
geoId-TQG,1776.0,3017.0,3503.0,4291.0,4883.0,5906.0,5162.0,5852.0,6521.0,7103.0,7729.7,7872.6,8365.9,8936.4,9605.7,9994.5,10145.4,10439.6,16609.4,15634.7,14251.1,14737.9,15512.4
geoId-TNN,4797.0,5382.0,5934.8,6915.0,7342.3,8800.9,10813.7,12943.5,16164.2,18971.2,23023.7,26841.5,29316.4,34028.2,35889.3,37568.6,45200.9,48048.7,53414.5,60482.0,65008.0,59759.12,68575.26
