dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài Nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,1995,,,,
geoId-VNM,1996,111.7,113.3,111.3,
geoId-VNM,1997,112.1,114.9,111.5,
geoId-VNM,1998,107.3,98.4,109.5,
geoId-VNM,1999,107.4,102.1,108.6,
geoId-VNM,2000,110.1,116.4,108.9,
geoId-VNM,2001,112.7,120.4,109.8,
geoId-VNM,2002,116.2,116.2,116.1,116.4
geoId-VNM,2003,118.6,103.7,118.5,456.7
geoId-VNM,2004,116.1,112.8,117.0,110.5
geoId-VNM,2005,114.2,116.1,116.0,58.9
geoId-VNM,2006,111.6,111.5,112.4,71.3
geoId-VNM,2007,116.2,108.7,118.2,75.9
geoId-VNM,2008,109.5,102.2,111.0,82.3
geoId-VNM,2009,109.5,104.0,110.7,71.4
geoId-VNM,2010,111.93,108.1,112.58,101.1
geoId-VNM,2011,110.6,106.4,111.2,104.7
geoId-VNM,2012,108.52,99.84,109.8,103.49
geoId-VNM,2013,105.13,97.4,106.16,102.8
geoId-VNM,2014,106.75,99.68,107.61,105.0
geoId-VNM,2015,106.8,95.97,108.03,103.7
geoId-VNM,2016,108.99,96.23,110.28,103.8
geoId-VNM,2017,110.18,100.8,111.02,101.2
geoId-VNM,2018,111.28,94.1,112.62,121.0
geoId-VNM,2019,108.53,94.92,109.45,104.08
geoId-VNM,2020,97.06,87.94,97.59,97.11
geoId-VNM,2021,100.0,100.16,100.01,93.47
geoId-VNM,Sơ bộ 2022,121.74,121.61,121.74,122.87
