dia phuong,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,1359.3,1439.1,1947.6,1425.0,1644.5,1776.3,1902.3,1883.7,2032.2,2344.3,2385.8,2520.0,1985.4,2037.0,2323.5,2820.0,3584.5,4556.4,5125.9,5730.28,2520.43,246.01,2600.23
geoId-VNM,2656.0,4110.0,4934.2,4187.2,5676.2,5326.6,5844.1,8035.8,6733.3,7595.3,8637.9,9810.9,9594.6,9569.1,9869.9,11811.0,12697.4,13747.3,14957.5,17318.87,7213.89,3149.47,10791.18
