"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-KGG,540.3,559.8,584.0,673.3,813.1,854.6,1040.7,1129.9,1094.2,1148.9,1266.1,1777.6,2092.4,2140.9,2326.4,2531.1,2776.6,3040.4,3183.3,3327.9,3221.1,1859.57,2426.46
geoId-KTM,141.9,139.1,137.8,147.4,165.0,167.0,181.0,204.2,156.8,162.0,193.9,201.5,209.5,222.6,239.9,267.0,290.2,323.3,353.37,386.5,363.5,250.23,303.86
geoId-LCU,,,,6.7,7.0,11.0,12.4,16.2,16.8,17.7,22.3,22.4,22.9,24.3,24.6,25.5,25.9,26.8,34.33,40.3,38.6,33.5,37.61
geoId-LAN,389.2,386.5,409.9,429.2,468.7,523.6,629.5,814.3,1148.2,946.0,1004.5,1098.0,1198.8,1280.5,1322.9,1394.3,1487.7,1638.0,1684.62,1741.8,973.8,383.89,547.04
geoId-LCI,44.0,44.6,53.7,60.9,72.6,84.1,101.5,117.3,132.4,140.9,147.7,139.9,143.7,153.9,166.7,192.5,221.2,246.0,333.34,388.7,255.1,238.41,318.72
geoId-LDG,389.5,582.1,615.0,677.2,738.4,830.2,972.3,1120.2,1177.3,1795.1,2004.7,2233.9,2412.6,2492.5,2457.0,2724.8,2931.6,3239.4,3587.62,3668.6,2560.5,2131.3,3297.9
geoId-LSN,165.4,176.5,227.1,321.1,244.1,199.4,218.4,242.8,272.6,287.6,322.3,355.4,383.7,410.0,422.1,437.7,453.0,499.2,569.23,679.4,388.3,253.76,291.22
geoId-NDH,474.3,495.1,532.8,575.6,614.6,641.3,692.8,742.9,746.9,854.8,956.6,1151.4,1215.1,1308.6,1344.4,1411.6,1487.4,1637.6,1761.73,1935.8,1835.4,1527.05,1759.16
geoId-NAN,635.2,650.0,754.2,806.9,976.8,1074.5,1214.2,1523.4,2211.6,2487.2,2834.6,3338.7,3699.4,4000.0,4348.3,4970.1,5437.3,6051.7,5888.45,6862.7,7026.5,6033.66,8768.71
geoId-NTN,84.1,95.0,109.1,116.6,124.6,149.7,162.0,162.7,244.3,283.0,340.4,301.7,311.6,331.5,345.2,377.3,411.6,443.7,460.21,506.8,354.0,258.0,727.65
geoId-NBH,88.7,93.5,108.5,135.8,202.3,257.3,322.8,355.1,400.0,476.0,552.0,569.2,624.2,657.7,679.2,790.6,881.0,897.7,912.02,976.3,1015.1,794.32,1034.2
geoId-PTO,160.9,166.4,185.5,238.0,287.9,322.2,397.6,464.1,495.0,527.8,616.1,557.1,605.0,618.6,643.9,708.3,790.5,853.7,817.63,892.0,931.1,822.68,912.16
geoId-PYN,388.8,398.9,400.4,440.1,469.5,469.8,416.2,436.9,473.7,510.9,563.8,579.7,637.7,681.1,722.2,766.3,840.6,923.8,1037.14,1072.4,847.3,421.57,751.98
geoId-QNM,299.7,327.5,344.3,359.8,386.0,413.7,523.9,483.1,494.9,553.6,619.6,636.0,673.6,695.3,729.9,788.3,864.8,935.7,697.36,827.7,367.0,235.0,325.83
geoId-QNI,284.8,258.9,234.9,235.0,255.6,288.6,297.1,345.3,438.0,504.0,533.8,648.2,694.1,734.3,759.6,856.1,910.0,1012.8,1133.02,1223.4,970.0,631.52,866.74
geoId-QBH,84.7,97.8,111.3,121.7,150.9,151.3,218.0,261.6,288.3,389.2,461.2,560.1,601.4,627.3,655.3,706.4,747.4,815.4,891.87,981.3,995.8,991.72,1171.22
geoId-QNH,413.8,460.83,481.09,581.0,708.7,809.9,822.0,1134.9,1145.1,1188.0,1285.0,1377.5,1492.2,1527.9,1599.8,1801.4,2008.6,2229.5,2633.36,3173.2,3439.7,2954.7,3723.39
geoId-QTI,255.9,244.5,184.0,194.9,211.7,213.5,300.9,368.0,429.3,557.0,627.4,568.1,591.6,590.2,521.9,533.9,572.5,603.4,656.88,719.5,625.2,432.64,474.59
geoId-STG,229.8,237.9,242.8,210.8,244.0,277.0,310.6,301.1,355.6,427.3,486.0,492.3,517.1,532.2,552.1,574.2,620.7,652.4,684.0,743.6,665.2,392.02,776.19
geoId-SLA,127.1,124.7,129.9,186.3,191.9,190.4,198.7,219.5,237.6,248.1,278.0,249.1,270.4,284.3,287.3,306.0,314.6,337.6,372.22,351.9,238.8,215.84,332.35
geoId-THA,215.3,229.6,244.1,257.4,274.7,304.0,396.3,462.7,579.4,714.8,857.2,962.1,1093.2,1188.9,1267.5,1546.4,1688.7,1881.2,1789.76,2088.5,1658.4,914.17,1242.88
geoId-TNN,113.1,115.3,146.25,189.9,277.6,284.6,306.1,339.5,433.5,454.8,468.4,523.8,573.0,609.6,653.0,689.6,741.3,797.6,859.64,943.7,943.7,875.56,1083.48
geoId-TBH,187.9,216.9,256.9,285.2,372.7,463.2,495.7,504.6,577.7,814.1,888.9,961.8,1028.8,1092.0,1158.9,1155.7,1130.3,1255.8,1477.49,1675.4,1659.8,1453.65,1782.18
,425.8,430.5,422.8,458.6,455.3,521.5,592.6,690.7,626.5,706.8,739.1,724.8,784.8,847.3,835.4,849.6,919.3,980.0,1107.49,1218.0,963.1,909.57,3143.44
geoId-TGG,815.2,869.5,762.8,821.1,944.3,950.1,1072.5,987.4,924.0,939.8,986.8,1035.4,1099.5,1212.6,1289.9,1480.8,1485.2,1571.3,1638.22,1664.0,593.7,419.22,541.37
geoId-HCM,3658.5,3642.7,4020.3,4120.5,4122.4,4303.2,4774.5,6319.0,6531.3,6938.9,8638.9,10690.8,11919.6,13137.9,15119.4,16933.7,18339.2,20136.4,23414.61,27231.2,14300.3,7822.31,21272.66
geoId-NT,1372.9,1458.41,1586.15,2044.5,2350.5,2553.3,2921.0,3249.9,3625.5,4122.9,4576.5,4617.4,4954.2,5144.3,5392.6,5732.0,6109.4,6557.1,7064.6,7878.9,6341.42,5117.47,6602.53
geoId-TVH,391.4,350.9,472.0,365.9,354.8,383.8,511.5,551.3,562.3,408.0,419.1,340.3,362.7,379.2,392.9,422.0,459.1,496.7,534.56,604.6,518.3,376.0,758.0
geoId-TQG,107.8,115.2,141.6,172.7,191.2,274.6,356.9,393.7,401.6,607.1,642.2,647.1,665.9,632.0,662.3,719.3,725.1,763.5,841.51,903.5,672.7,702.4,709.1
geoId-TNN,1434.3,1627.7,1678.6,1918.5,2112.8,2331.0,2583.9,2978.6,3152.7,4389.6,4893.4,5300.9,5613.5,5798.8,5965.8,6455.9,6919.4,7640.9,8490.56,8948.9,7735.2,5765.88,8437.37
geoId-TNH,393.9,418.2,451.1,536.9,632.4,654.3,728.5,801.9,872.5,932.4,961.3,996.1,1067.2,1135.1,1144.9,1213.6,1280.3,1368.6,1476.98,1452.2,1404.9,763.62,1560.34
geoId-VLG,259.2,291.1,314.9,345.8,418.8,472.1,550.3,598.4,716.1,803.1,866.9,817.8,866.7,899.2,922.7,859.0,899.4,965.1,887.41,895.6,568.9,469.18,707.97
geoId-VPC,83.4,85.2,125.0,163.4,249.9,371.1,403.6,587.4,787.4,889.7,1111.2,1197.8,1315.7,1400.1,1608.0,1717.2,1774.1,1880.5,1320.98,1378.1,871.2,708.36,1154.4
geoId-YBI,105.1,114.0,111.0,140.1,181.1,227.5,244.6,262.2,269.6,271.2,274.7,302.8,332.5,354.9,366.2,384.4,399.8,422.2,445.97,474.9,441.7,401.3,531.5
geoId-DBN,67.5,74.9,75.4,66.3,78.3,90.5,116.8,133.3,138.9,144.2,157.9,142.9,156.5,168.7,183.6,194.5,209.9,234.7,278.24,287.3,226.8,174.09,371.1
geoId-DNG,325.9,298.98,323.49,501.1,537.4,464.1,521.3,625.5,730.7,795.8,1015.4,1209.3,1324.7,1454.7,1466.7,1309.8,1443.4,1521.3,1131.94,1334.3,520.6,325.38,444.0
geoId-ST,5760.86,5994.8,6883.7,7216.3,8027.4,8735.9,9911.8,12058.5,13037.6,15421.8,17859.2,20666.2,22838.3,24842.7,27516.3,30176.2,32427.3,35053.0,39595.44,44000.9,28439.1,18116.96,36503.99
geoId-DLK,597.0,594.0,597.8,669.9,751.7,840.0,871.9,918.4,913.9,1334.1,1572.6,1698.2,1786.9,1848.8,1969.9,1997.5,2101.4,2330.5,2612.49,2744.5,2683.8,1492.17,2240.54
geoId-DNG1,,,,65.8,79.9,98.8,117.6,204.8,225.6,257.0,267.9,291.8,305.3,315.4,329.5,374.9,391.0,416.0,518.82,554.9,418.2,332.26,567.69
geoId-MRD,5974.58,6159.93,6597.03,8129.7,8754.9,10107.9,11318.7,11609.4,12459.5,12576.2,13969.0,15227.2,16494.8,17455.0,18027.1,18488.5,19543.0,21008.8,22329.18,23643.4,19611.9,11586.15,17389.59
geoId-RRD,2736.5,2945.4,3618.09,5324.6,6430.3,7495.2,8462.0,9769.8,11380.9,12314.9,14551.3,16040.5,17595.7,19073.7,20384.5,22155.0,23990.1,26321.6,28449.4,31886.9,29123.21,22401.52,29208.39
geoId-DNI,417.2,558.0,1038.9,1090.4,1317.4,1410.3,1621.2,1738.9,1901.1,3315.7,3635.0,4085.2,4489.2,4858.4,5209.3,5521.9,5850.6,6201.6,6580.79,6929.6,6469.0,4624.93,6367.39
geoId-DTP,208.6,209.8,214.0,221.0,253.2,253.8,315.2,320.2,503.1,620.0,709.7,626.9,659.3,689.5,721.9,810.0,865.9,929.1,1001.29,1116.5,1047.3,871.31,938.0
