"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-LCU,,,,5.0,6.7,16.6,19.2,21.4,24.7,21.8,20.4,26.5,28.9,28.6,32.7,34.6,37.7,38.9,51.1,66.3,63.7,65.93,74.63
geoId-LAN,67.5,70.81,120.87,127.3,102.4,109.7,87.4,43.2,51.9,54.1,56.4,71.0,79.0,97.4,101.6,114.2,123.2,124.3,131.7,135.8,140.4,128.75,130.87
geoId-LCI,3.1,4.9,8.7,9.9,11.8,13.5,16.4,22.4,30.0,35.1,35.5,37.9,47.1,60.7,66.2,74.0,74.4,82.1,110.1,135.1,86.3,105.61,136.72
geoId-LDG,176.18,176.2,180.72,191.14,223.5,244.5,361.4,409.3,448.2,514.9,616.8,709.6,788.1,970.7,1040.8,883.6,1300.2,1613.6,1617.8,1908.3,2154.4,1583.78,2489.47
geoId-LSN,43.3,45.8,77.25,84.4,80.9,46.7,49.9,56.3,78.7,86.0,92.4,139.8,156.8,171.1,174.3,191.9,201.2,216.3,305.6,352.6,347.7,588.06,690.09
geoId-NDH,80.5,85.3,97.5,109.9,117.4,128.7,150.0,162.9,180.5,232.3,260.3,291.3,345.8,390.4,395.1,418.8,484.1,528.1,612.6,702.3,665.9,662.71,796.79
geoId-NAN,339.29,363.1,487.64,530.8,646.8,704.9,810.3,843.0,893.3,983.2,1088.6,1353.2,1167.3,1301.0,1331.5,1494.1,1676.6,1972.5,1757.5,2057.8,2211.1,2420.15,3194.82
geoId-NTN,88.5,103.49,126.69,132.6,133.0,156.2,193.5,213.8,241.0,238.6,252.2,277.9,310.9,330.5,352.6,392.1,432.5,457.5,293.7,324.5,300.9,296.45,402.87
geoId-NBH,105.8,143.36,155.4,164.0,185.0,166.6,187.2,275.1,225.4,320.3,374.7,461.5,570.2,602.7,631.0,728.2,835.4,868.0,736.9,764.7,795.1,840.45,1167.5
geoId-PTO,60.93,67.2,96.6,130.1,149.1,185.7,283.5,388.7,445.8,326.2,274.0,315.9,349.1,416.6,480.8,542.7,606.8,608.6,717.6,735.5,768.9,803.22,904.51
geoId-PYN,204.03,209.31,221.35,237.8,259.5,264.2,269.2,302.6,336.2,373.5,431.1,463.2,514.7,547.7,585.6,636.7,697.2,772.5,827.3,893.1,847.8,737.79,824.1
geoId-QNM,91.2,112.03,127.65,170.3,198.7,207.4,230.4,278.1,312.9,359.4,395.7,504.5,507.0,519.7,538.9,609.5,656.5,753.6,962.4,1054.1,861.0,928.73,728.01
geoId-QNI,197.7,194.9,199.79,199.9,252.2,328.5,365.4,471.0,542.7,624.0,724.8,913.4,1062.0,1086.5,1102.5,1200.1,1261.3,1339.5,1600.7,1773.5,267.9,249.96,338.31
geoId-QBH,83.3,95.1,111.82,129.4,152.8,174.1,118.2,204.7,244.7,276.5,290.7,354.2,408.4,410.6,445.6,479.6,511.3,532.8,582.9,646.3,653.1,697.85,852.71
geoId-QNH,53.0,59.86,129.87,134.8,177.7,205.4,221.2,265.3,291.8,321.0,359.6,394.2,402.6,448.1,493.4,557.5,662.4,783.6,873.7,857.4,969.7,1081.22,1277.97
geoId-QTI,34.55,43.8,76.1,92.2,112.2,153.6,188.5,194.8,259.7,332.3,390.1,465.9,447.9,497.7,531.6,573.2,626.7,659.9,691.6,797.3,772.5,840.05,918.79
geoId-STG,17.08,17.52,22.97,23.55,24.1,25.9,26.9,27.1,33.9,42.3,47.6,49.8,56.4,65.8,69.7,77.6,90.9,100.7,106.4,123.2,124.1,140.1,177.92
geoId-SLA,67.6,83.7,114.8,137.76,187.9,194.6,211.1,241.6,258.0,282.7,307.1,321.4,338.3,364.8,408.3,444.9,469.2,590.7,573.8,627.0,690.3,647.8,739.8
geoId-THA,175.0,187.0,199.0,212.7,226.0,273.2,294.8,444.3,507.4,606.7,694.2,928.4,1028.1,1145.1,1245.1,1340.4,1447.9,1572.5,1715.1,1821.9,1705.9,1853.55,2028.39
geoId-TNN,75.99,88.55,102.5,126.6,188.5,254.4,263.4,302.0,355.9,446.5,526.1,631.1,658.1,694.2,739.0,743.4,797.8,943.8,1004.2,1061.3,1093.6,1819.55,2034.84
geoId-TBH,40.5,42.9,49.6,55.2,65.8,71.6,70.1,70.3,68.0,88.3,97.4,108.4,111.1,76.6,76.4,90.6,93.9,102.4,145.4,168.8,167.2,180.98,231.94
,127.3,144.98,187.66,178.3,230.6,168.5,189.2,239.2,274.0,313.9,330.2,387.2,433.0,464.5,489.6,555.0,625.3,684.0,762.7,834.0,806.7,852.45,1187.9
geoId-TGG,138.68,133.66,123.45,108.0,128.0,144.7,179.7,155.4,185.8,217.3,225.5,277.9,304.1,324.1,335.2,349.7,399.8,401.0,406.2,426.8,319.0,269.99,329.81
