dia phuong,2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,41.1,41.1,45.5,47.3,40.9,40.5,42.1,33.1,31.7,34.1,35.8,33.4,30.0,37.9,38.0
