"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-KGG,744.1,770.0,813.6,956.2,1138.8,1200.7,1415.8,1530.0,1538.7,1503.1,1810.0,2289.8,2619.0,2744.6,3021.0,3250.0,3542.2,3822.8,4101.86,4389.8,3836.0,2539.54,3381.17
geoId-KTM,141.9,139.1,137.8,147.4,165.0,167.0,181.0,204.2,156.8,162.0,193.9,201.5,209.5,222.6,239.9,267.0,290.2,323.3,353.33,386.4,363.5,250.23,303.86
geoId-LCU,,,,6.7,7.0,11.0,12.4,16.2,16.8,17.7,22.3,22.4,22.9,24.3,24.6,25.5,25.9,26.8,34.33,40.3,38.6,33.5,37.6
geoId-LAN,460.0,456.9,493.3,504.4,557.7,591.8,667.3,849.0,1176.8,959.4,1017.8,1110.4,1211.7,1294.0,1337.0,1409.7,1504.5,1656.0,1698.9,1756.5,982.8,395.98,554.51
geoId-LCI,44.3,44.8,53.87,61.1,72.8,84.3,101.7,117.8,132.7,141.2,148.0,140.4,143.7,154.2,166.7,192.5,221.7,246.5,334.01,389.4,255.1,238.49,318.7
geoId-LDG,393.6,582.8,620.1,682.6,745.0,836.5,978.4,1125.1,1179.8,1795.3,2102.3,2233.9,2412.6,2494.1,2457.0,2724.8,2931.6,3239.4,3587.64,3668.6,2560.5,2267.6,3791.9
geoId-LSN,165.4,176.5,227.1,321.1,244.1,199.4,218.4,242.8,272.7,287.6,322.3,355.4,383.7,410.0,422.1,437.7,453.0,499.2,569.22,590.8,388.3,253.76,291.22
geoId-NDH,474.3,495.1,532.8,575.6,614.6,641.3,692.8,742.9,747.6,854.7,1006.8,1151.4,1215.1,1308.6,1344.4,1411.6,1487.4,1637.6,1763.53,1939.9,1836.0,1564.27,1802.04
geoId-NAN,639.5,654.3,759.3,812.3,982.9,1080.1,1219.5,1526.1,2213.9,2489.6,2837.0,3341.5,3702.1,4002.6,4350.3,4970.1,5439.5,6054.0,5890.7,6864.7,7027.8,6034.77,8769.73
geoId-NTN,84.1,95.0,109.1,116.6,124.6,149.7,162.0,162.7,244.3,283.0,340.4,301.7,311.6,331.5,345.2,377.3,411.6,443.7,460.21,506.8,354.0,258.0,727.65
geoId-NBH,88.8,93.6,108.6,136.0,202.5,257.6,323.1,355.4,400.4,476.4,557.6,575.3,632.2,666.2,679.2,790.6,881.0,897.7,912.06,976.6,1043.1,878.81,1179.37
geoId-PTO,160.9,166.4,185.5,238.0,287.9,322.1,397.6,464.1,495.1,527.9,616.1,557.1,608.0,618.6,643.9,708.3,790.5,853.7,817.64,892.0,932.8,824.31,914.0
geoId-PYN,389.3,399.4,400.7,440.3,469.7,470.0,416.3,437.0,473.9,510.9,563.9,579.7,637.7,681.1,722.4,766.3,840.6,923.8,1130.48,1168.9,847.4,421.57,751.98
geoId-QNM,300.71,339.94,352.8,363.5,388.2,415.5,526.5,486.0,509.4,569.8,637.1,655.2,678.8,701.2,735.1,788.3,870.1,941.1,697.79,827.8,367.0,234.76,328.7
geoId-QNI,286.9,260.9,236.8,237.0,257.4,291.5,300.2,348.2,440.2,508.6,537.7,652.9,699.0,739.4,764.8,856.1,915.4,1018.3,1152.5,1243.7,970.0,631.6,868.4
geoId-QBH,93.4,107.5,121.8,132.7,162.8,162.7,227.4,274.0,295.0,401.5,473.4,566.8,608.5,634.5,661.3,706.4,753.6,821.7,897.22,987.3,995.9,990.12,1168.35
geoId-QNH,448.0,499.05,523.22,634.9,772.6,870.5,898.4,1192.6,1204.0,1243.1,1375.0,1499.4,1606.2,1647.6,1599.8,1862.4,2070.8,2293.3,2708.88,3229.7,3749.0,3122.92,3930.64
geoId-QTI,259.5,248.6,186.4,197.4,216.7,218.7,309.8,368.6,429.3,557.0,627.4,568.2,591.7,590.4,522.1,533.9,572.5,603.4,656.88,719.5,625.2,432.74,474.69
geoId-STG,297.1,307.4,314.3,262.1,288.2,317.8,353.0,346.8,401.4,453.9,515.2,522.2,550.8,568.6,586.4,610.3,658.7,694.3,727.86,791.4,672.3,396.27,789.01
geoId-SLA,128.6,126.2,131.0,187.3,192.8,192.6,201.4,221.8,238.7,249.4,279.3,251.0,272.4,286.4,289.6,306.0,317.0,340.0,374.83,412.3,242.8,241.86,371.8
geoId-THA,215.3,230.0,244.5,258.0,275.4,304.7,397.7,463.6,580.4,715.8,858.2,963.1,1094.2,1190.0,1268.8,1546.4,1690.1,1882.7,1919.29,2239.4,1659.3,915.02,1243.61
geoId-TNN,113.1,115.3,146.25,189.8,278.0,284.7,306.2,339.6,434.2,454.9,468.4,523.9,573.2,609.8,653.0,689.6,741.6,797.9,860.08,944.2,943.7,875.79,1083.72
geoId-TBH,187.9,216.9,256.9,285.2,372.7,463.2,495.7,504.6,577.7,814.2,917.6,965.8,1030.6,1093.9,1158.9,1155.7,1130.3,1255.8,1477.45,1675.4,1661.5,1471.76,1819.09
,445.8,451.1,444.0,479.2,468.1,534.7,602.6,699.1,633.5,717.5,746.8,732.5,792.3,853.0,839.5,849.6,923.6,984.4,1112.46,1223.0,963.1,908.64,3128.43
geoId-TGG,881.4,917.1,790.0,840.5,955.9,962.9,1086.3,1001.4,940.9,957.1,998.3,1053.5,1120.4,1231.1,1289.9,1500.9,1505.9,1593.3,1660.41,1711.3,621.2,438.83,565.36
geoId-HCM,3681.6,3669.0,4038.9,4140.8,4146.8,4330.4,4795.2,6345.9,6582.5,6994.7,8835.5,12143.4,12161.1,13387.6,15372.6,17193.6,18609.0,20417.5,24029.78,28949.2,14300.3,7897.23,21564.09
geoId-NT,1400.0,1483.01,1609.92,2072.5,2377.1,2563.6,2933.8,3265.0,3646.3,4147.8,4629.3,4633.2,4974.4,5162.9,5394.9,5732.0,6128.3,6576.1,7084.69,7741.7,6353.0,5158.9,6666.58
geoId-TVH,564.1,508.6,609.0,404.9,453.8,413.1,573.0,610.3,575.7,419.2,430.8,352.3,375.7,393.1,408.8,440.0,477.4,516.7,555.7,627.8,563.6,415.0,766.0
geoId-TQG,116.6,123.7,150.6,181.5,200.1,276.8,361.5,398.4,411.6,618.0,643.4,651.7,669.8,636.1,662.3,719.3,729.4,767.8,846.65,909.0,672.6,702.4,709.1
geoId-TNN,1438.4,1628.4,1683.7,1923.9,2119.4,2337.4,2590.0,2983.9,3155.8,4359.1,4991.4,5301.2,5614.1,5801.1,5966.4,6455.9,6919.4,7640.9,8490.55,8948.8,7735.2,5902.21,8931.39
geoId-TNH,397.5,422.1,455.0,550.1,642.4,654.3,728.5,802.4,873.0,932.9,961.8,996.6,1067.5,1135.6,1145.4,1213.6,1280.9,1369.2,1477.48,1587.9,1404.9,763.73,1560.42
geoId-VLG,302.8,336.1,361.4,393.9,461.4,502.0,571.4,617.8,752.2,838.9,896.9,846.4,895.2,928.4,934.2,871.8,912.5,979.1,898.13,978.9,580.1,480.9,726.79
geoId-VPC,83.4,85.2,125.0,163.4,249.9,371.1,403.6,587.4,787.4,889.7,1111.2,1198.2,1322.1,1406.2,1608.0,1717.2,1780.6,1887.2,1326.7,1384.0,871.8,708.72,1154.67
geoId-YBI,118.1,125.1,121.4,151.4,185.9,231.8,248.2,265.5,272.4,275.6,308.0,304.5,333.6,356.1,366.2,384.4,399.8,422.2,445.97,474.9,441.7,401.6,532.0
geoId-DBN,67.5,74.9,75.4,66.3,78.3,90.5,116.8,133.3,138.9,144.2,157.9,142.9,156.5,168.7,183.6,194.5,209.9,234.7,278.24,287.3,226.8,174.09,371.1
geoId-DNG,327.5,307.69,327.84,502.7,538.1,465.0,522.2,628.2,731.5,796.2,1097.0,1209.3,1324.9,1455.0,1520.9,1309.8,1443.8,1521.7,1154.39,1361.5,521.0,325.34,444.18
geoId-ST,5827.8,6071.5,6987.3,7314.3,8130.6,8839.0,10021.1,12173.5,13122.3,15497.7,18235.3,22288.6,23244.9,25259.4,27774.5,30544.6,32817.7,35462.4,40355.24,46071.9,28439.1,18198.82,36804.22
geoId-DLK,597.0,594.0,597.8,669.9,751.7,840.0,871.9,918.8,914.2,1334.5,1573.0,1698.2,1787.5,1849.5,1970.5,1997.5,2101.4,2330.5,2612.49,2744.5,2683.8,1492.14,2240.54
geoId-DNG1,,,,65.8,79.9,98.8,117.6,204.8,225.9,225.9,267.9,292.1,305.3,315.4,329.5,374.9,391.0,416.0,518.82,554.9,418.2,332.29,567.72
geoId-MRD,8150.17,8486.77,9119.1,10303.4,11307.4,12559.2,13716.6,13938.7,14887.1,14738.5,16065.3,17287.9,18621.3,19719.0,20035.3,20697.8,21850.2,23377.7,25007.11,26696.1,21037.2,12882.07,19499.45
geoId-RRD,2803.7,3015.52,3691.32,5411.9,6533.0,7595.2,8580.7,9866.6,11480.3,12422.4,14947.2,16372.1,17829.8,19318.9,20869.3,22627.8,24629.5,26987.7,29184.19,32687.7,29488.8,22737.02,29760.07
geoId-DNI,426.6,569.6,1050.6,1102.4,1330.3,1424.5,1643.6,1758.2,1907.1,3317.8,3641.0,4090.1,4493.1,4862.7,5211.4,5521.9,5852.8,6203.9,6583.19,7000.6,6469.0,4625.32,6367.85
geoId-DTP,297.6,299.4,305.0,315.0,355.4,351.7,331.2,342.6,527.9,648.4,719.5,635.4,668.2,698.8,729.6,818.4,874.8,938.1,1011.28,1126.9,1094.0,686.78,744.16
