dia phuong,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,25.8,20.3,14.9,11.0,11.3,9.9,7.3,6.1,3.1,2.0,2.3,2.0,1.4,1.1,1.2,1.2
