dia phuong,Năm,Tổng số,Đường sắt,Đường bộ,Đường sông,Đường hàng không
geoId-VNM,1995,24109.3,2133.3,15944.4,1937.3,4094.3
geoId-VNM,1996,26440.5,2260.7,18024.8,2207.0,3948.0
geoId-VNM,1997,27776.1,2476.4,19074.4,2303.3,3922.0
geoId-VNM,1998,28983.4,2542.3,20179.3,2394.8,3867.0
geoId-VNM,1999,30506.3,2722.0,21276.8,2465.5,4042.0
geoId-VNM,2000,32468.2,3199.9,22375.8,2509.5,4383.0
geoId-VNM,2001,35624.2,3426.1,23394.9,2692.5,6110.7
geoId-VNM,2002,39353.5,3697.2,25597.5,2957.4,7101.4
geoId-VNM,2003,44378.9,4069.0,30458.5,2739.4,7112.0
geoId-VNM,2004,51167.0,4376.3,34265.6,3158.1,9367.0
geoId-VNM,2005,57695.7,4562.7,38601.7,3407.1,11124.2
geoId-VNM,2006,63908.8,4333.7,43569.1,3189.4,12816.6
geoId-VNM,2007,71864.6,4659.5,49372.1,3151.4,14681.6
geoId-VNM,2008,78180.0,4560.4,54221.1,3246.2,16152.3
geoId-VNM,2009,85202.7,4138.1,61508.8,3048.2,16507.6
geoId-VNM,2010,97931.8,4377.9,69197.4,3194.5,21162.0
geoId-VNM,2011,108709.0,4571.0,78013.3,2855.7,23269.0
geoId-VNM,2012,116043.7,4600.6,84982.0,2835.1,23626.0
geoId-VNM,2013,124528.2,4416.6,90319.8,2914.1,26877.7
geoId-VNM,2014,139060.4,4481.9,96885.3,2985.7,34707.5
geoId-VNM,2015,154664.7,4149.6,105382.2,3064.5,42068.4
geoId-VNM,2016,169076.9,3421.6,114198.8,3219.9,48236.6
geoId-VNM,2017,186834.4,3625.1,125390.3,3504.6,54314.4
geoId-VNM,2018,206672.69,3542.06,130774.71,4499.93,67856.0
geoId-VNM,2019,230747.19,3154.66,144061.2,6128.5,77402.83
geoId-VNM,2020,151100.54,1509.19,112740.5,2725.92,34124.88
geoId-VNM,2021,93805.28,639.77,78029.64,1203.29,13932.58
geoId-VNM,Sơ bộ 2022,183574.23,1598.38,123516.58,3540.93,54918.35
