"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-LAN,14.2,15.8,14.7,15.3,15.0,18.6,22.8,29.5,30.4,32.3,35.0,38.7,41.3,42.6,45.1,47.5,49.0,53.6,57.2,60.6,37.7,14.68,21.13
geoId-LCI,1.5,1.6,1.7,1.8,2.1,2.4,2.8,3.3,3.9,3.9,4.0,4.4,4.6,4.4,4.6,5.3,5.9,6.5,7.3,8.4,3.4,3.25,5.07
geoId-LDG,4.9,5.8,7.0,7.7,8.0,8.9,10.4,11.6,17.6,21.1,25.1,27.9,29.2,31.2,31.3,35.3,37.3,40.5,45.64,46.8,25.7,18.6,33.1
geoId-LSN,1.7,1.93,2.1,2.0,2.3,3.4,3.6,4.0,5.1,6.5,7.5,8.2,8.6,8.9,9.6,10.2,10.8,12.0,12.9,13.1,7.6,6.15,6.76
geoId-NDH,4.7,5.0,5.3,5.8,6.0,6.1,6.3,6.7,7.0,8.0,9.1,10.0,11.1,11.2,11.3,11.7,12.3,13.7,14.83,16.0,14.6,12.15,13.99
geoId-NAN,7.4,7.7,7.7,9.1,12.3,15.3,17.2,21.7,23.2,27.8,29.6,35.7,39.9,43.5,47.5,54.1,59.4,66.3,55.9,66.7,69.9,57.92,86.74
geoId-NTN,1.6,1.8,2.1,2.2,2.2,2.4,2.5,2.4,3.2,3.8,4.6,4.9,5.0,4.9,5.1,5.7,6.3,6.8,7.18,7.9,5.6,4.94,9.08
geoId-NBH,1.7,1.8,2.1,2.5,3.6,5.7,5.9,6.6,7.5,8.1,9.7,11.5,12.0,12.7,13.3,14.7,16.5,16.9,17.21,18.7,19.0,14.87,19.36
geoId-PTO,1.8,1.9,2.6,2.4,2.5,2.9,3.4,3.8,4.2,4.5,5.4,5.1,5.2,5.5,6.1,6.4,7.1,7.2,6.9,7.6,7.9,7.2,7.9
geoId-PYN,5.6,5.8,6.1,6.5,6.9,7.3,7.4,7.8,8.3,9.2,10.0,10.4,11.3,12.0,12.7,13.2,14.3,15.5,15.56,16.1,12.9,7.48,9.4
geoId-QNM,5.1,5.0,5.2,5.1,5.1,6.1,7.5,7.6,6.4,7.1,7.7,8.0,9.1,9.7,9.8,10.5,11.5,12.3,9.63,10.7,5.0,3.44,5.02
geoId-QNI,1.0,0.9,0.8,0.8,0.9,1.0,1.1,1.3,1.5,1.8,2.0,2.2,2.5,2.7,2.9,3.3,3.7,4.1,5.62,6.0,3.9,2.51,3.51
geoId-QBH,2.3,2.6,2.9,3.1,3.5,3.8,2.7,3.2,5.6,5.9,7.0,7.6,8.3,8.9,9.7,10.6,11.3,12.3,13.53,14.9,15.0,14.81,17.72
geoId-QNH,4.2,4.72,4.89,5.5,6.3,6.8,7.2,9.9,9.9,11.4,12.1,12.9,13.5,14.7,15.9,17.7,19.7,22.0,25.8,29.8,32.2,26.89,34.21
geoId-QTI,3.7,3.4,2.9,2.8,2.5,2.7,3.4,3.7,4.7,6.0,6.6,5.4,5.5,5.8,6.2,6.3,6.5,6.7,7.49,8.1,7.0,6.78,7.46
