dia phuong,2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,57.2,63.2,68.2,71.0,66.6,70.0,72.3,63.1,61.5,68.7,68.7,67.6,67.3,80.8,77.4
