dia phuong,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,32.3,31.0,35.2,34.9,31.5,28.4,28.4,30.0,30.9,30.7,28.9,28.6,29.1,26.2,23.5,26.8
